,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
0,Gastenkamer in Westfriese stolpboerderij,https://www.airbnb.com/rooms/20719734,833,monthly,921,Entire guest suite,1,,52.62319,4.89333,0.5,0.8,entire_home,2
1,Room to rent In Alkmaar,https://www.airbnb.com/rooms/6029626,989,monthly,1094,Entire condominium,2,,52.63829,4.74117,0.45,0.64,entire_home,2
2,Nice Studio - Fully Furnished,https://www.airbnb.com/rooms/12945024,999,monthly,1167,Entire apartment,7,,52.10674,5.14776,0.75,0.9,entire_home,2
3,"Cosy furnished room, own kitchen",https://www.airbnb.com/rooms/3914594,1000,monthly,1143,Entire condominium,2,,52.64709,4.74475,0.6,0.87,entire_home,2
4,Ginkgobos Tent (combinatie bij GinkgobosEcolodge ),https://www.airbnb.com/rooms/43148767,1000,monthly,1113,Tent,1,,52.0913,4.67582,0.0,0.0,entire_home,2
0,Cozy 'Dutch Style' Loft in Hilversum,https://www.airbnb.com/rooms/42751469,1083,monthly,1210,Entire loft,1,,52.22162,5.16966,0.65,0.8,entire_home,2
1,Appartement in rustige woonwijk,https://www.airbnb.com/rooms/6353872,1143,monthly,1264,Entire apartment,30,,52.14503,5.29733,0.7,0.86,entire_home,2
2,Welcome in a Dutch house! (Pls read about dates!),https://www.airbnb.com/rooms/19869149,1166,monthly,1333,Entire townhouse,10,,52.08796,4.87191,0.7,1.0,entire_home,2
3,Apartment for rent Amsterdam district (long stay),https://www.airbnb.com/rooms/38155048,1167,monthly,1291,Entire apartment,30,,52.50363,4.9628,0.0,0.0,entire_home,2
4,cozy spacious apartment city center Utrecht,https://www.airbnb.com/rooms/24028832,1168,monthly,1366,Entire apartment,14,,52.09796,5.13544,0.7,1.0,entire_home,2
5,Leiden Room with a view,https://www.airbnb.com/rooms/43515154,1171,monthly,1295,Entire apartment,28,,52.1489,4.52014,0.0,0.0,entire_home,2
0,Molenzicht 1  Heerhugowaard,https://www.airbnb.com/rooms/34633552,1209,monthly,1374,Entire apartment,7,,52.65908,4.86455,0.0,0.0,entire_home,2
1,Cosy and modern balcony apartment Utrecht city,https://www.airbnb.com/rooms/37179814,1211,monthly,1401,Entire apartment,14,,52.09305,5.10032,0.65,0.0,entire_home,2
2,New studio-apartments in Hilversum near Media park,https://www.airbnb.com/rooms/16864051,1225,monthly,1447,Entire apartment,7,,52.22985,5.17688,0.75,0.0,entire_home,2
3,Triple apartment Utrecht City West,https://www.airbnb.com/rooms/43248251,1244,monthly,1438,Entire apartment,7,,52.09167,5.09528,0.5,0.9,entire_home,3
4,spacious appartement with own shower and kitchen.,https://www.airbnb.com/rooms/27450589,1255,monthly,1400,Entire apartment,1,,52.108,5.179,0.75,0.9,entire_home,2
5,Tuinhuis met alle gemakken dichtbij strand en stad,https://www.airbnb.com/rooms/38543912,1262,monthly,1396,Entire cottage,2,,52.49336,4.65203,0.69954,0.9,entire_home,2
6,Quiet apt next to Amstel River,https://www.airbnb.com/rooms/16630995,1274,monthly,1428,Entire apartment,3,,52.35687,4.90936,0.51,0.79,entire_home,2
7,"Welcome to Studio Alkmaar, Holland",https://www.airbnb.com/rooms/3376899,1277,monthly,1449,Entire apartment,2,,52.64779,4.74379,0.59,0.89,entire_home,2
8,Rustig appartement Watergraafsmeer,https://www.airbnb.com/rooms/29044500,1283,monthly,1456,Entire apartment,2,,52.35256,4.94401,0.55,0.85,entire_home,2
9,Long stay apartment in Amsterdam West,https://www.airbnb.com/rooms/42422177,1293,monthly,1430,Entire apartment,30,,52.37059,4.87148,0.97,0.97,entire_home,2
10,"Studio 30sqm for 1, 2 3, or 4 persons",https://www.airbnb.com/rooms/17519825,1329,monthly,1470,Entire townhouse,2,,52.347,5.008,0.73,0.89,entire_home,4
11,Zeilen met Zeger B&B op Marken,https://www.airbnb.com/rooms/835796,1333,monthly,1474,Entire cabin,2,,52.4552,5.11371,0.4,0.7,entire_home,2
12,Private small cottage near the centre of Utrecht,https://www.airbnb.com/rooms/14742533,1349,monthly,1492,Entire guesthouse,4,,52.07024,5.12472,0.9,0.95,entire_home,1
13,"Kamerik, Oh heerlijk  'Slapen op een Eiland'!",https://www.airbnb.com/rooms/7850931,1364,monthly,1528,Entire apartment,2,,52.14014,4.88833,0.63,0.86,entire_home,3
14,Ruim drie kamer appartement in Haarlem Noord,https://www.airbnb.com/rooms/43473474,1366,monthly,1511,Entire apartment,30,,52.4094,4.63639,0.82,0.0,entire_home,2
15,Modern studio appartement in weideland nabij A’dam,https://www.airbnb.com/rooms/43545165,1387,monthly,1565,Entire apartment,2,,52.42704,4.96309,0.0,0.85,entire_home,3
16,"Great modern apartment, ideal location in Utrecht",https://www.airbnb.com/rooms/17280213,1399,monthly,1603,Entire apartment,14,,52.092,5.101,0.7,0.0,entire_home,4
0,Private apartment - Green Heart center NL,https://www.airbnb.com/rooms/37493248,1404,monthly,1584,Entire apartment,4,,52.07453,4.91616,0.49,0.76,entire_home,2
1,Gezellige dorpswoning,https://www.airbnb.com/rooms/21989172,1436,monthly,1650,Entire cottage,3,,52.56078,4.83308,0.65,0.85,entire_home,2
2,Rustige Chalet woning in Venhuizen,https://www.airbnb.com/rooms/43455936,1437,monthly,1651,Entire chalet,3,,52.6467,5.20816,0.5,0.79,entire_home,5
3,Quiet Apartment near centrum & Trains,https://www.airbnb.com/rooms/37085724,1466,monthly,1622,Entire apartment,5,,52.37704,5.20848,0.8,1.0,entire_home,2
4,Deluxe Penthouse Apartment Utrecht,https://www.airbnb.com/rooms/42922689,1466,monthly,1677,Entire apartment,6,,52.08991,5.09543,0.55,0.95,entire_home,3
5,Ideal base to explore Utrecht & rest of Holland!,https://www.airbnb.com/rooms/31513332,1466,monthly,1677,Entire apartment,14,,52.09272,5.10086,0.88,0.0,entire_home,4
6,Beautiful studio in lively Utrecht,https://www.airbnb.com/rooms/13081396,1469,monthly,1649,Entire apartment,2,,52.0936,5.09709,0.63,0.9,entire_home,2
7,Loosdrecht nabij Hilversum,https://www.airbnb.com/rooms/23498497,1470,monthly,1669,Entire apartment,1,,52.19839,5.13478,0.0,0.9,entire_home,4
8,Spacious apartment 30 min from Amsterdam,https://www.airbnb.com/rooms/22323332,1499,monthly,1707,Entire apartment,7,,52.39479,5.26194,0.75,0.9,entire_home,4
9,Appartement 25min by public transport to Amsterdam,https://www.airbnb.com/rooms/41367838,1499,monthly,1701,Entire apartment,5,,52.50369,4.95675,0.75,0.88,entire_home,2
10,Independent Unit :) 25 min from  Amsterdam centre,https://www.airbnb.com/rooms/38726158,1499,monthly,1695,Entire house,5,,52.40042,5.28761,0.75,0.88,entire_home,2
11,Small Houseboat from 1908,https://www.airbnb.com/rooms/6235555,1499,monthly,1701,Boat,5,,52.43937,4.75387,0.6,0.8,entire_home,2
12,"Cosy, quiet appartment in Utrecht",https://www.airbnb.com/rooms/3559255,1499,monthly,1720,Entire apartment,2,,52.09319,5.09886,0.6,0.8,entire_home,4
13,Top-floor apartment,https://www.airbnb.com/rooms/43576406,1499,monthly,1658,Entire apartment,28,,52.372,4.53322,0.9,0.99,entire_home,2
14,Cozy apartment near Amsterdam,https://www.airbnb.com/rooms/42093704,1516,monthly,1739,Entire apartment,6,,52.06235,5.19594,0.7,0.9,entire_home,4
15,Modern & fully equipped apartment Utrecht,https://www.airbnb.com/rooms/21360947,1516,monthly,1739,Entire apartment,14,,52.092,5.101,0.7,0.0,entire_home,4
16,Modern spacious apartment near Amsterdam / Utrecht,https://www.airbnb.com/rooms/41030642,1516,monthly,1713,Entire apartment,3,,52.21494,5.1416,0.65,0.9,entire_home,2
17,"Ingerichte 4p tent 2,5km van strand+privé sanitair",https://www.airbnb.com/rooms/43529609,1516,monthly,1696,Tent,2,,52.6088,4.64474,0.7,0.85,entire_home,4
18,Apartment E Bussum Rooftop 20 minutes to Amsterdam,https://www.airbnb.com/rooms/23434402,1521,monthly,1726,Entire apartment,2,,52.27631,5.15944,0.0,0.0,entire_home,2
19,Stand alone studio close to Amsterdam,https://www.airbnb.com/rooms/28997782,1522,monthly,1696,Entire guest suite,3,,52.40754,5.27996,0.0,0.95,entire_home,2
20,Idyllic ECO Cabin Forest Dunes,https://www.airbnb.com/rooms/18458003,1538,monthly,1763,Entire guesthouse,2,,52.41566,4.62018,0.65,0.0,entire_home,1
21,Cozy Studio Centre Appt next to Dam square,https://www.airbnb.com/rooms/27458491,1541,monthly,1741,Entire apartment,2,,52.37109,4.89081,0.7,1.0,entire_home,5
22,monastery studio,https://www.airbnb.com/rooms/24041989,1559,monthly,1799,Entire apartment,14,,52.08624,5.11869,0.72,1.0,entire_home,2
23,Lovely studio with a stunning view,https://www.airbnb.com/rooms/16426692,1571,monthly,1774,Entire condominium,1,,52.37678,4.84638,0.75,1.0,entire_home,2
24,apartment 60 m2 near keukenhof,https://www.airbnb.com/rooms/9407483,1578,monthly,1777,Entire apartment,1,,52.30742,4.60657,0.7,1.0,entire_home,4
25,2 kamers met eigen Keuken/WC/Bad aan rand centrum,https://www.airbnb.com/rooms/43040461,1579,monthly,1778,Entire house,14,,52.09976,5.10869,0.9,1.0,entire_home,2
26,Waterfront Apartment - Affordable Short Term Stay,https://www.airbnb.com/rooms/42383015,1586,monthly,1754,Entire apartment,28,,52.22381,4.98239,0.56,0.75,entire_home,1
27,Top located Apartment In Amsterdam,https://www.airbnb.com/rooms/40850907,1586,monthly,1791,Entire apartment,4,,52.36824,4.87287,0.4,0.85,entire_home,4
28,Your luxury home away from home in Utrecht,https://www.airbnb.com/rooms/43059665,1599,monthly,1824,Entire apartment,6,,52.09151,5.09504,0.6,0.95,entire_home,4
29,Bright and new apartment near city centre 💕,https://www.airbnb.com/rooms/8882403,1599,monthly,1831,Entire apartment,14,,52.39575,4.87654,0.4,0.85,entire_home,2
30,Deluxe Apartment Utrecht City West,https://www.airbnb.com/rooms/42950195,1599,monthly,1824,Entire apartment,6,,52.09198,5.09678,0.6,0.95,entire_home,4
0,"Sweet house at the river, well connected.",https://www.airbnb.com/rooms/38286573,1601,monthly,1888,Entire townhouse,2,,52.0863,4.73926,0.8,0.93,entire_home,4
1,Appartement/ studio te Naarden,https://www.airbnb.com/rooms/21588300,1613,monthly,1827,Entire guesthouse,2,,52.29602,5.14933,1.0,1.0,entire_home,2
2,Live like a local in Utrecht!,https://www.airbnb.com/rooms/18921217,1624,monthly,1852,Entire apartment,14,,52.092,5.101,0.75,0.0,entire_home,4
3,"A beautifull cosy appartment in Hilversum, 45m2",https://www.airbnb.com/rooms/3136664,1624,monthly,1840,Entire apartment,3,,52.24168,5.18256,0.75,0.9,entire_home,2
