,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
0,Simple medium single room,https://www.airbnb.com/rooms/42370080,666,monthly,737,Entire apartment,1,,41.34864,1.70174,0.0,0.0,entire_home,1
1,"1 GRAN ESTUDIO, BAÑO & COCINA PRIVADOS Y NUEVOS p7",https://www.airbnb.com/rooms/42908801,733,monthly,811,Entire apartment,30,,41.37427,2.12448,0.0,0.0,entire_home,2
2,Cool Bungalow,https://www.airbnb.com/rooms/39183220,680,monthly,752,Tiny house,30,,41.61639,2.00154,0.6,0.8,entire_home,2
3,Espai Malva,https://www.airbnb.com/rooms/3965388,700,monthly,774,Entire house,1,,41.55722,1.60422,0.7,0.8,entire_home,11
4,"Habitacion , perfectamente ,",https://www.airbnb.com/rooms/27905877,766,monthly,847,Entire house,5,,41.51635,1.70651,0.0,0.0,entire_home,1
5,Yurta Mongol en la Montaña,https://www.airbnb.com/rooms/16586549,765,monthly,881,Yurt,1,,41.455,1.607,0.9,0.9,entire_home,10
6,Manresa habitacion privada-Piso compartido,https://www.airbnb.com/rooms/41283847,677,monthly,761,Entire apartment,1,,41.72834,1.82516,0.67724,0.8534,entire_home,2
7,"1 Estudio nuevo, A/C, TV, al lado del metro/bus T5",https://www.airbnb.com/rooms/39978154,758,monthly,839,Entire apartment,30,,41.42531,2.15585,0.0,0.0,entire_home,2
8,Brand new apartment near MWC L'hospitalet 122,https://www.airbnb.com/rooms/41041355,787,monthly,892,Entire apartment,1,,41.37079,2.10041,0.7,0.9,entire_home,2
9,"APARTMENT, private bathroom & balcony next metro",https://www.airbnb.com/rooms/39906619,786,monthly,869,Entire house,30,,41.37552,2.12363,0.0,0.0,entire_home,2
10,1 ESTUDIO CON COCINA & BAÑO PRIVADO EN SANTS  P2,https://www.airbnb.com/rooms/40467814,677,monthly,749,Entire loft,30,,41.37626,2.12379,0.0,0.0,entire_home,2
0,"Spacious refurbished 1bed flat, close to the Metro",https://www.airbnb.com/rooms/23903853,886,monthly,1060,Entire apartment,3,,41.36225,2.12619,0.7,0.8,entire_home,4
1,Beautiful cosy 1 Bed close to BCN,https://www.airbnb.com/rooms/23904052,886,monthly,1060,Entire apartment,3,,41.36381,2.12601,0.7,0.8,entire_home,4
2,Wonderful renovated 1 Bed with terrace,https://www.airbnb.com/rooms/23904057,886,monthly,1060,Entire apartment,3,,41.36374,2.12527,0.7,0.8,entire_home,4
3,Nice place close to MWC,https://www.airbnb.com/rooms/42032417,860,monthly,982,Entire apartment,1,,41.37795,2.13681,0.8,0.9,entire_home,2
4,"Peaceful 1bed apartment, completely refurbished",https://www.airbnb.com/rooms/23904020,886,monthly,1060,Entire apartment,3,,41.36256,2.12505,0.7,0.8,entire_home,4
5,Mini Estudio,https://www.airbnb.com/rooms/42798402,833,monthly,921,Entire apartment,30,,41.38322,2.13786,0.0,0.0,entire_home,2
6,Apartamento con encanto en Gracia,https://www.airbnb.com/rooms/26141985,967,monthly,1162,Entire apartment,30,,41.402,2.163,0.95,0.97,entire_home,4
7,"1 Huge APARTMENT with A/C & TV, next to metro T4",https://www.airbnb.com/rooms/31009448,999,monthly,1142,Entire guesthouse,30,,41.42704,2.15677,0.0,0.0,entire_home,2
