,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
0,"Cozy apartment, surrounded  by a beautiful garden",https://www.airbnb.com/rooms/37616836,252,monthly,290,Entire apartment,1,,33.88015,35.53582,0.4,0.5,entire_home,3
1,Private room in a shared apartment.,https://www.airbnb.com/rooms/19986075,270,monthly,299,Entire apartment,1,,33.87276,35.52713,0.45,0.8,entire_home,2
2,Studio + balcony Achrafieh Sassine near ABC MALL,https://www.airbnb.com/rooms/31254826,285,monthly,322,Entire loft,3,,33.8872,35.51854,0.95,0.0,entire_home,1
3,Studios achrafieh sassine square near abc mall,https://www.airbnb.com/rooms/31108769,300,monthly,338,Entire apartment,3,,33.8861,35.51915,0.0,0.0,entire_home,1
4,Private studio at Sassine Achrafieh first floor,https://www.airbnb.com/rooms/41792766,300,monthly,338,Entire apartment,5,,33.88393,35.52234,0.0,0.0,entire_home,1
5,Studio Sassine Achrafieh 2nd floor south near ABC,https://www.airbnb.com/rooms/42937034,328,monthly,363,Entire apartment,4,,33.88502,35.52051,0.86,1.0,entire_home,2
6,Dorm (room) in jdeide,https://www.airbnb.com/rooms/37846972,348,monthly,385,Entire chalet,30,,33.88937,35.56341,0.58,1.0,entire_home,2
7,Private studio in Manara /403,https://www.airbnb.com/rooms/42844564,351,monthly,388,Entire apartment,1,,33.8963,35.47625,0.65,0.85,entire_home,2
8,Private studio 5 min from Hamra /402,https://www.airbnb.com/rooms/42844675,353,monthly,391,Entire apartment,1,,33.89616,35.47512,0.62,0.86,entire_home,2
9,Quiet and nice view,https://www.airbnb.com/rooms/41127018,360,monthly,398,Entire apartment,30,,33.792,35.497,0.0,0.0,entire_home,4
10,"Loft with a mountain view, near the French Embassy",https://www.airbnb.com/rooms/43382702,372,monthly,412,Entire loft,1,,33.88412,35.50995,0.51,0.79,entire_home,2
11,Furnished DORMS in Kaslik,https://www.airbnb.com/rooms/28502976,383,monthly,432,Entire apartment,2,,33.98261,35.61974,0.85,1.0,entire_home,2
12,Dorms for rent in KASLIK,https://www.airbnb.com/rooms/21896013,383,monthly,432,Entire apartment,2,,33.98172,35.61943,0.85,1.0,entire_home,2
13,A good size one bedroom studio flat,https://www.airbnb.com/rooms/8203473,383,monthly,424,Entire apartment,7,,33.89054,35.52525,0.85,0.88889,entire_home,2
14,Unfurnished apartment for rent,https://www.airbnb.com/rooms/43498790,390,monthly,431,Entire apartment,30,,33.97127,35.62001,0.52,1.0,entire_home,6
15,,https://www.airbnb.com/rooms/25943475,390,monthly,454,Entire townhouse,2,,33.87996,35.57881,0.65,0.9,entire_home,1
16,Hotel auberge,https://www.airbnb.com/rooms/42775430,394,monthly,442,Entire apartment,30,,33.95009,35.59368,0.73,1.0,entire_home,2
17,Private studio at Sassine Achrafieh Beirut,https://www.airbnb.com/rooms/40855516,399,monthly,448,Entire apartment,2,,33.88516,35.51918,0.95,0.0,entire_home,2
0,"Furnished apartment in Broummana, Brummana",https://www.airbnb.com/rooms/40556815,414,monthly,458,Entire apartment,2,,33.88419,35.63819,0.6,0.85,entire_home,3
1,"Very nice loft, new and next to USJ University",https://www.airbnb.com/rooms/43382771,428,monthly,473,Entire loft,14,,33.8835,35.51055,0.51,0.79,entire_home,4
2,Studio king bed at sassine achrafieh near ABC mall,https://www.airbnb.com/rooms/41150844,429,monthly,475,Entire apartment,1,,33.88517,35.51939,0.55,0.8,entire_home,2
3,Apartment at Sassine Achrafieh near ABC mall,https://www.airbnb.com/rooms/40696436,432,monthly,478,Entire apartment,3,,33.88647,35.52006,0.6,0.85,entire_home,2
4,Beirut Port-Side Mini Studio,https://www.airbnb.com/rooms/43521109,435,monthly,498,Entire apartment,1,,33.90219,35.52542,0.55,0.9,entire_home,2
