,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
0,"Vfamagusta home with a view,easy to access",https://www.airbnb.com/rooms/42686468,300,monthly,325,Entire apartment,5,,35.11566,33.92006,0.0,0.0,entire_home,4
0,Двухкомнатные аппартаменты у моря.,https://www.airbnb.com/rooms/21842305,431,monthly,467,Entire condominium,7,,35.25421,33.90343,0.85,0.95,entire_home,2
1,New Studio by the sea,https://www.airbnb.com/rooms/37086686,416,monthly,476,Entire apartment,1,,35.25333,33.89971,0.41,0.9,entire_home,2
2,Brand New 2BEDROOM Flat near E.M.U UNiVERSiTY,https://www.airbnb.com/rooms/27617110,462,monthly,535,Entire apartment,4,,35.13615,33.91952,0.35,0.0,entire_home,3
3,"квартира , 21$/сутки в Цезорь Резорт",https://www.airbnb.com/rooms/31524914,599,monthly,698,Entire apartment,3,,35.26235,33.89854,0.95,0.97,entire_home,4
4,Luxury Studio apt in city centre North Cyprus,https://www.airbnb.com/rooms/32440380,540,monthly,585,Entire apartment,3,,35.13501,33.91941,0.6,0.8,entire_home,2
5,cag-kem apt,https://www.airbnb.com/rooms/28997865,451,monthly,514,Entire serviced apartment,3,,35.14388,33.91286,0.0,0.89,entire_home,3
6,Famagusta City Hotel,https://www.airbnb.com/rooms/32360581,471,monthly,536,Entire serviced apartment,1,,35.14453,33.91289,0.51,0.85,entire_home,3
7,Кипр сев. СПА комплекс  5*,https://www.airbnb.com/rooms/18458886,578,monthly,648,Entire condominium,5,,35.26104,33.89918,0.9,0.95,entire_home,3
8,Studio House in Walled City of Famagusta,https://www.airbnb.com/rooms/23554580,453,monthly,500,Entire guest suite,2,,35.12267,33.94202,0.68,0.8,entire_home,2
0,Memorable Stay in Cyprus + Welcome Drink,https://www.airbnb.com/rooms/39475759,760,monthly,860,Entire apartment,2,,34.9725,33.64512,0.0,0.9,entire_home,2
1,"Holiday Studio close to Sea, Long Beach, N.Cyprus",https://www.airbnb.com/rooms/14196249,669,monthly,756,Entire apartment,3,,35.25647,33.90363,0.9,0.9,entire_home,3
2,1 спальная квартира у моря на Северном Кипре,https://www.airbnb.com/rooms/19178803,710,monthly,812,Entire apartment,7,,35.25101,33.90164,0.7,0.0,entire_home,4
3,"Great Studio in Trikomo, Cyprus, Sea&Sun Break!",https://www.airbnb.com/rooms/13892643,771,monthly,866,Entire apartment,2,,35.25619,33.9034,0.9,0.0,entire_home,3
4,Dilyar Homes Long Beach Studio,https://www.airbnb.com/rooms/27503188,603,monthly,668,Entire apartment,3,,35.24738,33.90245,0.8,0.9,entire_home,5
5,"DILYAR HOMES FLAT 1, Close to;  both IVF hospitals",https://www.airbnb.com/rooms/24312689,705,monthly,785,Entire apartment,3,,35.1257,33.92642,0.85,0.9,entire_home,4
6,Sun Apartments Aqua,https://www.airbnb.com/rooms/43243498,791,monthly,825,Entire apartment,1,,35.256,33.905,0.9,0.95,entire_home,3
7,Barbeque house,https://www.airbnb.com/rooms/32763007,771,monthly,836,Entire townhouse,3,,35.19046,33.89479,0.89,0.99,entire_home,5
8,Design new STUDIO (for 3-4) Good located-full-wifi,https://www.airbnb.com/rooms/31458044,754,monthly,839,Entire apartment,2,,35.13311,33.92529,0.95,1.0,entire_home,3
9,"Отличный отдых, уютная квартирка недалеко от пляжа",https://www.airbnb.com/rooms/13551249,625,monthly,720,Entire apartment,6,,35.257,33.9,0.66,0.95,entire_home,4
10,"A flat in Caesar Resort, Yeni Iskele, North Cyprus",https://www.airbnb.com/rooms/42828652,769,monthly,834,Entire apartment,2,,35.26129,33.90396,0.65,0.9,entire_home,4
11,Милая квартира у берега моря 100 м,https://www.airbnb.com/rooms/4641673,656,monthly,711,Entire apartment,14,,35.2474,33.88675,0.97,1.0,entire_home,4
12,DILYAR HOMES FLAT 10 (close to both IVF hospitals),https://www.airbnb.com/rooms/23668718,705,monthly,785,Entire apartment,3,,35.12595,33.92769,0.85,0.9,entire_home,4
13,"2 bedroom flat with view,in the heart of Famagusta",https://www.airbnb.com/rooms/28394977,743,monthly,806,Entire apartment,1,,35.12134,33.93288,1.0,0.9,entire_home,3
14,SEVGUL UZKAN,https://www.airbnb.com/rooms/28519055,679,monthly,763,Entire apartment,3,,35.256,33.90423,0.9,0.95,entire_home,4
15,Pirgos beach house 2,https://www.airbnb.com/rooms/33041646,786,monthly,889,Entire house,4,,34.97591,33.67964,0.93,0.99,entire_home,4
16,"Long beach,  Royal Sun, Cyprus",https://www.airbnb.com/rooms/32688900,781,monthly,847,Entire apartment,4,,35.25518,33.90265,0.7,0.97,entire_home,4
17,Nyproducerad studio med havsutsikt,https://www.airbnb.com/rooms/27325620,754,monthly,840,Entire apartment,5,,35.25476,33.90147,0.0,0.0,entire_home,2
18,Sun Apartments Poseidon 1,https://www.airbnb.com/rooms/43617837,662,monthly,662,Entire serviced apartment,1,,35.25348,33.90107,0.9,0.95,entire_home,4
19,Apartment in Larnaca,https://www.airbnb.com/rooms/25096370,757,monthly,888,Entire apartment,5,,34.93,33.639,0.8,0.95,entire_home,4
20,"Beautiful, sea view apartment in center of Larnaca",https://www.airbnb.com/rooms/28797492,777,monthly,911,Entire loft,5,,34.92446,33.63624,0.0,0.0,entire_home,4
21,Larnaca Delight,https://www.airbnb.com/rooms/23013317,698,monthly,828,Entire apartment,4,,34.98056,33.6992,0.59,0.9,entire_home,3
22,"Studio2 in the middle of Famagusta, North Cyprus",https://www.airbnb.com/rooms/39594481,618,monthly,711,Entire apartment,2,,34.9862,33.79657,0.82,0.92,entire_home,2
23,Caesars Resort - Iskele (Cyprus),https://www.airbnb.com/rooms/35529618,676,monthly,774,Entire apartment,3,,35.261,33.901,0.64,1.0,entire_home,4
24,PROTARAS BLUE SEA  APARTMENT,https://www.airbnb.com/rooms/14807993,710,monthly,819,Entire apartment,9,,35.05016,34.00326,0.7,0.8,entire_home,3
0,,https://www.airbnb.com/rooms/19782835,845,monthly,956,Entire condominium,1,,35.05216,33.99438,0.25,0.65,entire_home,6
1,,https://www.airbnb.com/rooms/31206361,827,monthly,927,Entire apartment,3,,35.03735,33.98358,0.51,0.79,entire_home,2
2,,https://www.airbnb.com/rooms/13169624,844,monthly,977,Entire apartment,7,,35.25575,33.90201,0.7,0.0,entire_home,4
3,,https://www.airbnb.com/rooms/35632457,902,monthly,1020,Entire serviced apartment,5,,35.21954,33.88256,0.92,0.98,entire_home,3
4,,https://www.airbnb.com/rooms/26744013,976,monthly,1095,Entire apartment,3,,35.26037,33.89829,0.85,0.95,entire_home,4
5,,https://www.airbnb.com/rooms/19973363,913,monthly,1071,Entire condominium,2,,34.9893,33.66,0.75,0.95,entire_home,3
6,,https://www.airbnb.com/rooms/43244668,821,monthly,855,Entire apartment,1,,35.256,33.905,0.9,0.95,entire_home,4
7,,https://www.airbnb.com/rooms/18518041,913,monthly,1015,Entire apartment,3,,35.2552,33.89865,0.9,0.95,entire_home,4
8,,https://www.airbnb.com/rooms/7248371,989,monthly,1138,Entire house,2,,35.12492,33.93864,0.65,0.85,entire_home,5
9,,https://www.airbnb.com/rooms/31365472,980,monthly,1063,Entire apartment,2,,34.91259,33.63729,0.58,0.9,entire_home,2
10,,https://www.airbnb.com/rooms/35296142,913,monthly,1047,Entire apartment,7,,34.98029,33.69527,0.9,0.9,entire_home,4
