,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
0,Great Sharing Studio Near Salah El Din Metro,https://www.airbnb.com/rooms/43414857,136,monthly,150,Entire apartment,1,,25.27142,55.32542,0.65,0.9,entire_home,8
0,Sharing Room  for Executives any nationality,https://www.airbnb.com/rooms/36282079,395,monthly,437,Entire apartment,1,,25.27779,55.36229,0.69,0.99,entire_home,2
0,,https://www.airbnb.com/rooms/34129884,441,monthly,488,Entire serviced apartment,1,,25.04616,55.13541,0.75,0.85,entire_home,1
1,,https://www.airbnb.com/rooms/33713719,574,monthly,635,Entire serviced apartment,1,,25.04497,55.13838,0.9,0.95,entire_home,2
2,,https://www.airbnb.com/rooms/33723409,551,monthly,610,Entire serviced apartment,5,,25.04729,55.13507,0.75,0.9,entire_home,3
3,,https://www.airbnb.com/rooms/34223530,507,monthly,561,Entire serviced apartment,1,,25.03676,55.14932,0.9,0.95,entire_home,1
4,,https://www.airbnb.com/rooms/33787696,515,monthly,570,Entire serviced apartment,5,,25.04905,55.13449,0.45,0.8,entire_home,2
5,,https://www.airbnb.com/rooms/34046385,515,monthly,570,Entire serviced apartment,5,,25.04594,55.13369,0.9,0.95,entire_home,2
6,,https://www.airbnb.com/rooms/41273081,458,monthly,512,Entire apartment,4,,25.19802,55.28587,0.8,0.93,entire_home,1
0,,https://www.airbnb.com/rooms/43145208,735,monthly,813,Entire apartment,1,,25.32072,55.44746,0.6,0.8,entire_home,4
1,,https://www.airbnb.com/rooms/16258624,674,monthly,791,Entire apartment,28,,25.15845,55.40786,0.75,0.9,entire_home,3
2,,https://www.airbnb.com/rooms/31306327,687,monthly,760,Entire apartment,1,,25.15718,55.41582,0.51,0.75,entire_home,2
3,,https://www.airbnb.com/rooms/42908061,752,monthly,752,Entire condominium,1,,25.3448,55.38866,0.9,0.93,entire_home,2
4,,https://www.airbnb.com/rooms/34186328,672,monthly,743,Entire serviced apartment,1,,25.04762,55.13349,0.84,0.9,entire_home,1
5,,https://www.airbnb.com/rooms/34244294,613,monthly,678,Entire serviced apartment,1,,25.04322,55.13921,0.5,0.8,entire_home,1
6,,https://www.airbnb.com/rooms/29871600,728,monthly,805,Entire serviced apartment,1,,25.25456,55.29834,0.9,0.95,entire_home,2
7,,https://www.airbnb.com/rooms/29871596,728,monthly,805,Entire serviced apartment,1,,25.25311,55.29831,0.9,0.95,entire_home,2
8,,https://www.airbnb.com/rooms/24864553,728,monthly,805,Entire serviced apartment,1,,25.25314,55.2985,0.9,0.95,entire_home,2
9,,https://www.airbnb.com/rooms/29770306,728,monthly,805,Entire serviced apartment,1,,25.25254,55.2959,0.9,0.95,entire_home,2
10,,https://www.airbnb.com/rooms/29934854,728,monthly,805,Entire serviced apartment,1,,25.254,55.296,0.9,0.95,entire_home,2
11,,https://www.airbnb.com/rooms/33583848,698,monthly,772,Entire serviced apartment,1,,25.04784,55.13356,0.9,0.9,entire_home,1
12,,https://www.airbnb.com/rooms/43325648,772,monthly,876,Entire apartment,1,,25.34222,55.39082,0.9,0.95,entire_home,2
13,,https://www.airbnb.com/rooms/30664245,722,monthly,799,Entire apartment,7,,25.061,55.237,0.93,0.95,entire_home,3
14,,https://www.airbnb.com/rooms/38612536,690,monthly,763,Entire apartment,1,,25.26877,55.30968,0.0,0.0,entire_home,3
15,,https://www.airbnb.com/rooms/42462657,706,monthly,706,Room in aparthotel,1,,25.33549,55.38683,0.9,0.93,entire_home,2
16,,https://www.airbnb.com/rooms/41576172,764,monthly,845,Entire apartment,3,,25.04069,55.13916,0.85,0.9,entire_home,2
17,,https://www.airbnb.com/rooms/24811473,728,monthly,805,Entire serviced apartment,1,,25.25483,55.29543,0.9,0.95,entire_home,2
0,Studio Good for 2,https://www.airbnb.com/rooms/35997200,968,monthly,1071,Entire condominium,1,,25.3008,55.38027,0.0,0.79,entire_home,2
1,Home away from home.  Cozy but affordable.,https://www.airbnb.com/rooms/31548311,858,monthly,949,Entire apartment,1,,25.30228,55.37878,0.7,0.85,entire_home,2
2,Уютное жильё в 15 минутах от Mall of Emirates,https://www.airbnb.com/rooms/33647296,947,monthly,1048,Entire serviced apartment,3,,25.05262,55.20038,0.8,0.9,entire_home,4
3,Cheap Studio for Rent in Dubai,https://www.airbnb.com/rooms/25011842,995,monthly,1101,Entire apartment,3,,25.1192,55.39631,0.87,0.87,entire_home,2
4,Spacious Studio for Families and Couples,https://www.airbnb.com/rooms/42888683,980,monthly,1084,Entire apartment,1,,25.16384,55.42182,0.0,0.0,entire_home,2
5,Cozy Entire Apartment With All Modern Amenities !!,https://www.airbnb.com/rooms/43200584,980,monthly,1084,Entire apartment,1,,25.04486,55.13292,0.8,0.9,entire_home,2
6,Full furnished cozy private studio in Dubai,https://www.airbnb.com/rooms/41008620,972,monthly,1135,Entire apartment,1,,25.03481,55.20191,0.85,0.95,entire_home,4
7,Studio apartment with balcony Dubai Sports City,https://www.airbnb.com/rooms/19973879,931,monthly,1030,Entire apartment,30,,25.04056,55.2152,0.95,1.0,entire_home,2
8,Lavish 1 bedroom - affordable in the heart of duba,https://www.airbnb.com/rooms/42161564,919,monthly,1017,Entire apartment,2,,25.16265,55.3984,0.9,0.95,entire_home,4
9,Furnished Studio with Free Parking on Food Street,https://www.airbnb.com/rooms/39833868,817,monthly,919,Entire apartment,1,,25.30698,55.46569,0.5,0.75,entire_home,4
10,Best Price in Marina-Private Roo,https://www.airbnb.com/rooms/43363606,809,monthly,895,Entire apartment,2,,25.24991,55.31344,0.0,0.0,entire_home,1
11,Furnished 1 Bedroom Apt. in Dubailand,https://www.airbnb.com/rooms/43439873,972,monthly,1114,Entire apartment,1,,25.09117,55.38606,0.9,0.95,entire_home,4
12,Pleasant Studio for rent in the middle in Dubai.,https://www.airbnb.com/rooms/43331545,939,monthly,1050,Entire apartment,1,,25.24789,55.29671,0.0,0.0,entire_home,1
13,"Studio Apartment, Super quite & clean near airport",https://www.airbnb.com/rooms/32429767,992,monthly,1113,Entire apartment,30,,25.28552,55.36008,0.9,1.0,entire_home,2
14,Comfortable Studio for rent in the middle in Dubai,https://www.airbnb.com/rooms/43331361,939,monthly,1050,Entire apartment,1,,25.24973,55.2965,0.0,1.0,entire_home,1
15,Deluxe Studio for rent in the heart of Dubai.,https://www.airbnb.com/rooms/43175246,939,monthly,1050,Entire apartment,1,,25.24755,55.29783,0.0,0.0,entire_home,1
16,Furnished 1 Br @Sportscity| MonthlyDeal 4700 |Wifi,https://www.airbnb.com/rooms/43361269,989,monthly,1095,Entire apartment,1,,25.04097,55.21992,0.75,0.95,entire_home,3
17,Luxury Studio Apartment in the beautiful Dubai,https://www.airbnb.com/rooms/29580823,801,monthly,940,Entire apartment,2,,25.045,55.215,0.7,0.85,entire_home,2
18,Studio With Balcony&Amazing View@Marina/JBR/Metro,https://www.airbnb.com/rooms/41977695,992,monthly,1103,Entire apartment,1,,25.06942,55.13406,0.9,0.0,entire_home,3
19,"Cozy home,everything inside it ,100m far from mall",https://www.airbnb.com/rooms/35977866,987,monthly,1092,Entire apartment,2,,25.05979,55.24358,0.93,0.0,entire_home,2
20,Superior King Studio,https://www.airbnb.com/rooms/43030923,956,monthly,1057,Entire serviced apartment,1,,25.095,55.177,0.65,0.8,entire_home,2
21,Rest inn,https://www.airbnb.com/rooms/34611480,919,monthly,1025,Entire apartment,1,,25.14604,55.39216,0.75,0.0,entire_home,6
22,Julie's Place,https://www.airbnb.com/rooms/43006746,817,monthly,904,Entire apartment,3,,25.01417,55.25322,0.0,0.0,entire_home,2
23,Charming Studio for rent in the heart of Dubai.,https://www.airbnb.com/rooms/43194476,939,monthly,1050,Entire apartment,1,,25.24917,55.29754,0.0,0.0,entire_home,1
24,Little beach side sanctuary,https://www.airbnb.com/rooms/35469206,876,monthly,1014,Entire guest suite,2,,25.14655,55.19278,0.72,0.83,entire_home,1
25,LOVELY STUDIO FOR RENT IN JUMEIRAH NEAR THE BEACH,https://www.airbnb.com/rooms/15837279,915,monthly,1033,Entire apartment,4,,25.20513,55.24331,0.7,0.8,entire_home,2
26,"Trendy studio home  with free WiFi, pool,Gym,",https://www.airbnb.com/rooms/30521653,988,monthly,1123,Entire apartment,5,,25.02813,55.15525,0.65,0.93,entire_home,2
27,Roy Mediterranean by Azizi,https://www.airbnb.com/rooms/30164755,899,monthly,1067,Entire condominium,28,,25.023,55.157,1.0,1.0,entire_home,2
28,AK Studio 021- Well equipped-Elite 10-Sports City,https://www.airbnb.com/rooms/42243210,809,monthly,925,Entire apartment,2,,25.0356,55.20698,0.55,0.6,entire_home,2
29,Bright & Rustic Studio In Lake Apartments,https://www.airbnb.com/rooms/43016728,963,monthly,1104,Entire apartment,2,,25.004,55.161,0.9,0.95,entire_home,3
30,Secret Hideout in Jumeirah Village Triangle,https://www.airbnb.com/rooms/37991313,833,monthly,921,Entire apartment,14,,25.03693,55.17846,0.6,0.8,entire_home,3
31,⭐️ ⭐️ ⭐️ ⭐️ ⭐️ Sweet studio in Dubai Sports City,https://www.airbnb.com/rooms/24813002,801,monthly,940,Entire apartment,1,,25.036,55.206,0.7,0.85,entire_home,2
