,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
0,Een prachtappartement in een prachtige stad.,https://www.airbnb.com/rooms/38792583,400,monthly,442,Entire apartment,2,,42.70702,18.35138,0.8,0.9,entire_home,4
1,Apartman za tri osobe.,https://www.airbnb.com/rooms/36954630,306,monthly,338,Entire apartment,1,,42.70341,18.35127,0.51,0.79,entire_home,3
2,Apartman Pravica,https://www.airbnb.com/rooms/26015684,315,monthly,348,Entire house,1,,42.71366,18.29675,0.7,0.79,entire_home,2
3,Peaceful Pines,https://www.airbnb.com/rooms/161998,378,monthly,418,Entire apartment,1,,42.70236,18.35349,0.7,0.9,entire_home,2
0,TREBINJE: APARTMENT STADION,https://www.airbnb.com/rooms/5302386,443,monthly,490,Entire apartment,1,,42.70914,18.35122,0.38,0.86,entire_home,4
1,Tara Trebinje,https://www.airbnb.com/rooms/40046459,595,monthly,658,Entire serviced apartment,2,,42.70786,18.35019,0.51,0.79,entire_home,4
2,Apartment Milica,https://www.airbnb.com/rooms/33831746,433,monthly,479,Entire house,1,,42.709,18.358,0.0,0.0,entire_home,5
3,SUNSET APARTMENT,https://www.airbnb.com/rooms/1746322,473,monthly,529,Entire apartment,1,,42.70332,18.35168,0.75,0.0,entire_home,3
4,"Flat in Igalo , 3-d floor. Clean, quite.",https://www.airbnb.com/rooms/25181714,600,monthly,700,Entire apartment,7,,42.45475,18.49542,1.0,1.0,entire_home,2
5,Studio Apartment,https://www.airbnb.com/rooms/13695017,498,monthly,551,Entire apartment,2,,42.70742,18.34686,0.0,0.88,entire_home,2
6,Apartman Pravica,https://www.airbnb.com/rooms/26472732,464,monthly,520,Entire house,5,,42.70547,18.28911,0.0,0.87,entire_home,3
7,Villa JelenaA,https://www.airbnb.com/rooms/6719503,540,monthly,605,Entire villa,1,,42.711,18.329,0.9,0.9,entire_home,5
8,Bungalow with Garden View,https://www.airbnb.com/rooms/22427464,533,monthly,590,Entire bungalow,1,,42.86056,18.48034,0.0,0.0,entire_home,2
9,Rooms and apartment,https://www.airbnb.com/rooms/14584234,533,monthly,590,Entire apartment,1,,42.72075,18.35417,0.8,0.85,entire_home,8
10,Villa Jelena2,https://www.airbnb.com/rooms/4210637,480,monthly,541,Entire villa,1,,42.712,18.326,0.8,0.87,entire_home,5
11,Apartmani Mango,https://www.airbnb.com/rooms/19379610,583,monthly,645,Entire guest suite,1,,42.7216,18.35849,0.7,0.9,entire_home,5
12,Sweet sunny apartment,https://www.airbnb.com/rooms/32547407,510,monthly,564,Entire apartment,3,,42.71193,18.34098,0.51,0.79,entire_home,2
13,PERFECT ROOM FOR TWO,https://www.airbnb.com/rooms/7547656,582,monthly,644,Entire guesthouse,1,,42.71664,18.34364,0.85,0.91,entire_home,2
14,Trebinje Bella,https://www.airbnb.com/rooms/34893211,433,monthly,479,Entire apartment,1,,42.724,18.351,0.65,0.8,entire_home,4
15,Studio apartman Jaksic,https://www.airbnb.com/rooms/37282189,566,monthly,626,Entire apartment,1,,42.70642,18.36115,0.85,0.0,entire_home,2
16,Old Town Apartment,https://www.airbnb.com/rooms/4936191,405,monthly,454,Entire apartment,1,,42.71232,18.34662,0.75,0.0,entire_home,2
17,Studio apart. tror rent. Igalo. 2-nd floor,https://www.airbnb.com/rooms/7845364,540,monthly,634,Entire apartment,7,,42.45382,18.49625,0.9,1.0,entire_home,2
18,Elena Apartments,https://www.airbnb.com/rooms/41853297,526,monthly,582,Entire apartment,1,,42.70124,18.35075,0.63,0.86,entire_home,4
19,Studio Milica,https://www.airbnb.com/rooms/34204827,533,monthly,596,Entire guest suite,1,,42.709,18.358,0.0,0.0,entire_home,2
20,Villa Jelena,https://www.airbnb.com/rooms/13631196,540,monthly,605,Entire villa,1,,42.711,18.329,0.9,0.9,entire_home,3
21,Apartmant Pearl,https://www.airbnb.com/rooms/34541247,420,monthly,465,Entire apartment,1,,42.70713,18.35208,0.5,0.8,entire_home,5
22,Apartments Pravica,https://www.airbnb.com/rooms/26472736,443,monthly,497,Entire house,1,,42.70622,18.28919,0.7,0.79,entire_home,8
0,Apartment Iva,https://www.airbnb.com/rooms/19218028,607,monthly,677,Entire serviced apartment,1,,42.712,18.33,0.0,0.88,entire_home,5
1,Minex Apartment 2 for relaxation,https://www.airbnb.com/rooms/1232260,608,monthly,673,Entire apartment,1,,42.70434,18.29964,0.8,0.87,entire_home,4
2,Minex studio 2 for relaxation,https://www.airbnb.com/rooms/36400442,616,monthly,681,Entire apartment,1,,42.7033,18.29976,0.75,0.85,entire_home,3
3,Minex studio 1 for relaxation,https://www.airbnb.com/rooms/36401132,616,monthly,681,Entire apartment,1,,42.70501,18.29918,0.75,0.85,entire_home,4
4,Apartman Magdalena,https://www.airbnb.com/rooms/36827002,623,monthly,689,Entire apartment,1,,42.70853,18.35353,0.85,0.9,entire_home,4
5,Apartman Nijona1,https://www.airbnb.com/rooms/30789830,624,monthly,690,Entire apartment,1,,42.71644,18.3455,0.52,0.86,entire_home,6
