,venue,lat,lon,address,category
0,Kikkerbilssluis (Brug 297),52.37262312416482,4.907737951339903,Prins Hendrikkade,Bridge
1,Montelbaanstoren,52.37181391020159,4.905341724155089,Oudeschans 4,Monument / Landmark
2,Royal Port Of Amsterdam,52.37403990797048,4.905559018602995,,Pier
3,Oosterdok,52.37396170457163,4.909815788269043,Oosterdokskade,Harbor / Marina
4,1% Club,52.37248420323414,4.907972676274374,'s Gravenhekje 1a,Office
5,Restaurant Gebr. Hartering,52.37157742883479,4.9074548241114195,Peperstraat 10HS,Restaurant
6,Openbare Bibliotheek Amsterdam,52.37606844281819,4.908294057785158,Oosterdokskade 143,Library
7,Hotelboot Sarah,52.373151,4.906094,,Cruise
8,Viva Kalkmarkt,52.372698,4.906939,,Residential Building (Apartment / Condo)
9,Kajuit Fien & Lau,52.373029,4.907689,,Nightclub
10,Villa d'Este,52.373241,4.90747,,Boat or Ferry
11,Coffee Company Headquarters,52.37224125289728,4.908312574379883,'s-Gravenhekje 1a,Office
12,De Zonnebloem,52.373503201507354,4.909944534301758,Oosterdok,Boat or Ferry
13,Hotelboat,52.3735568262981,4.9104931904655915,,
14,Bushalte Kadijksplein,52.37327871093143,4.908085299957873,Kadijksplein,Bus Stop
15,Huisartsenpraktijk Kalkmarkt,52.37226201299574,4.907523248675606,Kalkmarkt 8,Doctor's Office
16,Atlas tandarts,52.373183369636536,4.907035,,Dentist's Office
17,Randy Roys Redlight Tours Amsterdam,52.37331205986545,4.9067250346699876,,Strip Club
18,Bushalte IJtunnel,52.3722085546225,4.909520873395442,Prins Hendrikkade,Bus Stop
19,Waterland,52.373298,4.909616,,Hostel
20,SUE Amsterdam,52.372359851608,4.907818465235767,'s-Gravenhekje 1a,Advertising Agency
21,Amsterdam Nederland,52.37210560391651,4.908018383207746,,Nightclub
22,Senzala,52.371249,4.908687,Rapenburg 51,Martial Arts Dojo
23,Clay Solutions B.V.,52.371581187828625,4.90904882205565,Kraanspoor 48,Tech Startup
24,Hotelboot Zwaan,52.372969628553435,4.909701016358927,,Hotel
25,Restaurant Greetje,52.37163852054639,4.907633624242568,Peperstraat 23,Restaurant
26,Used Products,52.37172154441772,4.910159111022949,Prins Hendrikkade 176,Shop & Service
27,squarepxl,52.371812,4.909524,Prins Hendrikkade 170,Design Studio
28,de amsterdamse school,52.373251,4.906125,Prins Hendrikkade 142,Adult Education Center
29,The Cabin,52.373242,4.90995,Oosterdok Steiger 4,Bed & Breakfast
30,Amicitia,52.37361611913435,4.91004623189331,Oosterdok 3,Hostel
31,'t Gravenhekje 1A,52.372356923021854,4.907959699630737,,Coworking Space
32,Amsterdam Hotelboat,52.37292149791364,4.909584315920981,Oosterdok Steiger 3,Hostel
33,Buurtpark 's-Gravenhekje,52.37202,4.907049,,Park
34,Intersail,52.37315789567138,4.909815151312632,Oosterdok,Hostel
35,Pier 2 Oosterdok,52.374059027987514,4.909523303252354,"Oosterdok, Amsterdã",Hotel
36,Harbour Loft Studios,52.37152189458935,4.909672237128773,,Hotel
37,Anna Houseboat,52.37319,4.908026,Prins Hendrikkade 549,Hostel
38,MPS Noorderzon,52.373140865066894,4.909718458996279,,Bed & Breakfast
39,Passenger Ship Avanti,52.37359676996864,4.910432543989864,Oosterdock,Boat or Ferry
40,Ulla models,52.373117,4.909865,Lijnbaansgracht 338,Office
41,Hostelboat Anna Maria II,52.37384380423829,4.910545349121094,Oosterdok t/o 4,Hotel
42,Poikien Pämppäkämppä,52.371544903378314,4.909936039987139,,Hookah Bar
43,MPS Holland,52.37300832474787,4.910905577937199,Oosterdok,Hostel
44,AtHand,52.37227362508478,4.90901933239995,Prins Hendrikkade 176-20,Advertising Agency
45,Walls And Skin,52.37283508852098,4.907283782958984,Kalkmarkt 1,Tattoo Parlor
46,Botel Zebra,52.37336906890463,4.910507849484084,Oosterdok t/o 4,Hostel
47,fleur,52.372686374821676,4.910247683050926,,Bed & Breakfast
48,Bed & Breakfast De Baronie,52.37271,4.907402,Kalkmarkt 2,Bed & Breakfast
49,One Percent Club,52.372399,4.907933,,Community Center
50,Buro88,52.371708,4.907876,Dijsselhofplantsoen 14,
51,Text to Change,52.37231107126364,4.907863140106201,'s Gravenhekje 1A,Office
52,Solar Initiative,52.37248190396365,4.907983362939858,'s Gravenhekje 1a,Office
53,Roord Binnenbouw 🔨,52.373113920988466,4.910531957913891,Digitaalstraat 18,Factory
54,Inno-V,52.37175,4.909656,,Office
55,Luxury Apartment Amsterdam centre,52.371849,4.908467,,Hotel
56,Botel Christina,52.373147286316296,4.909994509360555,Oosterdok dok-3,Bed & Breakfast
57,Secret Garden,52.37260362976261,4.905856909682597,,Historic Site
58,'t Tuintje,52.37199665792502,4.907047748565674,Rapenburg,Garden
59,HPS,52.3716834983565,4.907673129617846,Rapenburg 18,Cocktail Bar
60,Endo,52.37186565170666,4.907369613647461,Rapenburg 12,Dentist's Office
61,Tandheelkundige Kliniek Atlas,52.373302,4.907186,Prins Hendrikkade 149,Dentist's Office
62,Ralph,52.37157501163188,4.907020060732323,,Residential Building (Apartment / Condo)
63,Medical Centre For Seamen,52.37282198816532,4.906511306762695,Kalkmarkt 8,Doctor's Office
64,Indoor Centrum Landsmeer,52.373876,4.906836,,
65,Appromotors,52.372533,4.907989,,Office
66,Prince Hendrik Suites,52.371865440920566,4.910091987318276,Prins Hendrikkade,General Travel
67,Hotel Library,52.37328154695635,4.906467114849972,,Hotel
68,Photonic,52.371918,4.907425,Rapenburg 1,Office
69,Time Out Amsterdam,52.371972,4.907639,'s-Gravenhekje 1a,Office
70,Dolluph,52.372799,4.910425,,
71,Flamoesch,52.373395,4.907032,,
72,Joop Gilliamse Créche,52.372435,4.909792,,
73,prins Hendrikkade Ilse 40-B-bash,52.372194,4.90908,Prins Hendrikkade,
74,Vita Nova,52.37333312196098,4.910148596067604,,Bed & Breakfast
75,Praktijk Amsterdam,52.371461,4.90687,Nieuwe Uilenburgstraat 6,Office
76,Momkai,52.37201820189987,4.90901135914421,Prinshendrikkade 170,Building
77,Marginale Boerenbus Naar Oudenaarde,52.371774,4.910318,,Bus Station
78,Das Magazin redactie,52.37233104608743,4.9078875140576415,,Coworking Space
79,Puna.nl,52.372473,4.907985,,Coworking Space
