,venue,lat,lon,address,category
0,Patronat Municipal de l'Habitatge,41.38338064895636,2.189011048747974,,Capitol Building
1,Naturgy,41.38361991736769,2.1903831582304027,"Plaça del Gas, 1",Office
2,Starbucks,41.383359,2.190036,,Coffee Shop
3,Segons Mercat,41.38223330883471,2.1888086171692134,"Balboa,16",Tapas Restaurant
4,Jai-Ca,41.38150091672574,2.1878577976008304,"C. Ginebra, 9-13",Tapas Restaurant
5,Estació de França (Estación de Francia),41.38421477869171,2.1857428550720215,"Av. Marquès de l'Argentera, 6",Train Station
6,La Salle Barceloneta,41.382253423803064,2.189091816998525,,High School
7,Pasa Tapas Restaurante,41.38227170882776,2.187232213507378,"Calle Doctor Aiguader, 6 -8",Spanish Restaurant
8,Monumento de los castellers,41.382295972183066,2.187407730574405,,Outdoor Sculpture
9,Dia,41.382305345269934,2.188624240266333,,Supermarket
10,Hospital Odontològic UB,41.38254,2.191568,,Dentist's Office
11,Residencia Campus del Mar,41.38258153657281,2.1908614847193895,Calle Paseo Salvat Papasseit n. 4,College Residence Hall
12,La Plateja,41.3832339324411,2.1879789661374884,,Spanish Restaurant
13,SmartCityExpo,41.382754255248386,2.19109448750955,,Convention Center
14,Condis,41.38179980191329,2.189326286315918,"C/ Ginebra, 33",Grocery Store
15,Koke Dama Sushi Bar,41.381705,2.188736,,Sushi Restaurant
16,Ca La Montse,41.382142464208684,2.188190465264039,,Mediterranean Restaurant
17,My Own Secrets,41.383872985839844,2.1890175342559814,,Gift Shop
18,C.F.Barceloneta,41.38276792496413,2.191219304870528,Barceloneta,Soccer Field
19,Club De Futbol Barceloneta,41.38371596335473,2.192034768093693,Dr. Aiguader S/N,Soccer Field
20,Magatzem.03,41.383568,2.191825,Carrer del dr. aeguader 58,Sports Bar
21,Farmacia Ariño,41.381539,2.188042,,
22,Carrer Balboa,41.38207812323973,2.187263722751675,Carrer Balboa,Other Great Outdoors
23,Forn de pa Balboa,41.382107513227666,2.1880904851592855,"Balboa, 12",Bakery
24,"Carrer de Balboa, Barceloneta",41.382406352771866,2.1876861470031885,,Residential Building (Apartment / Condo)
25,Carrer De La Maquinista,41.38107144226975,2.188775827841083,,Residential Building (Apartment / Condo)
26,Farmàcia del Born,41.38373159050629,2.187926162546435,Marqués de Argentera nº 5,Pharmacy
27,Room 201,41.382549,2.190752,,Winery
28,Ada Nails,41.380952,2.189532,,Nail Salon
29,La Tasqueta 1800,41.3820112709158,2.187393060173297,"Carrer de Balboa, 10",Mediterranean Restaurant
30,El Vaso de Oro,41.381973137651435,2.187206685957127,"C. Balboa, 6",Beer Bar
31,La Tasqueta,41.38182878494263,2.1875184774398804,,Bar
32,Bicing 116,41.384033203125,2.1892993450164795,C\ del Doctor Aiguader 72,Bike Rental / Bike Share
33,Caupolican,41.38097763250426,2.1896159081453423,Maquinista 40,Bar
34,Bar Los Pescadores,41.38109370524224,2.1899572427306215,,Food
35,El Sopapu,41.381669,2.188975,22 Carrer de Ginebra,Tapas Restaurant
36,Info Tickets Express,41.383904,2.1893995,"Calle Doctor Aiguader, 5-7",Tourist Information Center
37,Safareigs Appartementos,41.381160736083984,2.1891729831695557,Safareigs 15,Residential Building (Apartment / Condo)
38,fanny's Bar,41.38199999800744,2.1874674843870565,,Tapas Restaurant
39,Bar Fanny,41.382067,2.187459,,Bar
40,Bar Restaurant Pontevedra,41.38099112132794,2.1897311203794096,,Spanish Restaurant
41,Esquerra Unida,41.38260866002758,2.187522937163912,,Community Center
42,Pasatapas,41.382374404938986,2.1870717130371946,"Dr. Aiguader, 6",Bar
43,feina random,41.383522,2.187209,,Office
44,Fairplay Padel,41.35324813445282,2.134348185910974,Carrer Del Foc,Tennis Court
45,Bistro 42,41.38100456955078,2.1897145909600244,Maquinista 42,Brazilian Restaurant
46,La Carioca,41.380843,2.186375,Plaça de Pau Vila,Brazilian Restaurant
47,Oficina Tècnica del Pla de Barris de la Barceloneta,41.382654982312665,2.1896985770581523,"Balboa, 36",Government Building
48,Bitácora,41.382069649585716,2.1876076142386567,"C. Balboa, 1",Tapas Restaurant
49,acqua&farina,41.3810234,2.1901521,Carrer de la Maquinista 52,Pizza Place
50,"Game Fisher, SL",41.382613,2.18678,"Doctor Aiguader, 6",Fishing Store
51,Malbec Restaurant,41.38201,2.191391,"Avinguda Litoral, 10",Mediterranean Restaurant
52,Balboa 12,41.382197912631995,2.188194981472389,,Residential Building (Apartment / Condo)
53,Carrer De Ginebra,41.381655566917914,2.188425398970811,,Other Great Outdoors
54,el mas dels arcs,41.382205,2.188456,,Fruit & Vegetable Store
55,Altar Of Afanndie,41.3837623596,2.18788695335,,
56,Restaurant Lobito,41.381528360816965,2.18790216093459,Carrer de Ginebra 9,Seafood Restaurant
57,Tren a Vinaros,41.384095,2.187553,,Moving Target
58,Tattoo Ghostar,41.381817,2.1894858,Ginebra,Tattoo Parlor
59,AFA Barceloneta,41.382171630859375,2.1882097721099854,"Carrer Balboa, 11",Student Center
60,El Nou Ramonet,41.381754,2.187575,"C. Carbonell, 5",Spanish Restaurant
61,The New Orleans Coffee & Tea Company,41.38081554521582,2.1891692206022464,"Atlàntida, 23",Café
62,Blue Building,41.386351958332085,2.195441722869873,"C. Ramon Trias Fargas, 7-11",Building
63,Vinoteca Voramar,41.38072588908475,2.1883147533952836,"Maquinista, 14",Wine Shop
64,Cheriff,41.38169964486482,2.1882962707231632,"Ginebra, 15",Paella Restaurant
65,Peluquería Lara,41.381734395044795,2.1886584162712097,"Carrer de Ginebra 17, 08003 Barcelona",Salon / Barbershop
66,Bitagora,41.38387,2.191025,,BBQ Joint
67,Loterias y Apuestas del Estado 259,41.38195335051588,2.1874221313819873,,Casino
68,DRDOU smoking club,41.38226281562144,2.190470405888679,,Speakeasy
69,Llibreria La Garba,41.38116384311007,2.1902167797088623,"Maquinista, 19",Bookstore
70,Forn Escolà,41.38095453885258,2.18927264213562,"Maquinista, 21",Bakery
71,Coros Barceloneta,41.38190444291858,2.188300589346271,Ginebra 21,Music Venue
72,Tijuana Morning Cafe,41.38201011553296,2.191392129479349,Passeig Marítim de la Barceloneta 32,Nightclub
73,Optimus Medina Riley,41.38263121388884,2.186750098598221,Muntaner 176,Office
74,Beach Fun 3,41.382037,2.189994,,Residential Building (Apartment / Condo)
75,TRENDS BARCELONA,41.383023401356425,2.1879959106445312,"AVvenida. Marques de l´Argentera, 5",Clothing Store
76,Palacio del Amor,41.381928602938856,2.188881039619446,"Carrer mediterrània, 4",Castle
77,Sala d'exposicions de Gas Natural Fenosa,41.38372103804244,2.190403197614078,"Pl. del Gas, 1",Art Gallery
78,AirB&B Artem,41.381725,2.189421,,Bed & Breakfast
79,Es Rent Balboa Shop,41.38217,2.1881073,Balboa,Bike Shop
80,Beach Studios,41.381424,2.1878765,"carrer de Paredes, 1",Hotel
81,Oslo Graphic barceloneta,41.381830312288336,2.189011048747974,"Carrer de la Mediterrània, 4",Coworking Space
82,Gas Natural,41.38304857425338,2.1909792717907766,"Plaça del gas,1",Auditorium
83,Aquí estoy,41.38337326049805,2.18940210342407,,
84,Game Fisher,41.382164963243866,2.1872877240235074,Doctor Aiguader 6,Sporting Goods Shop
85,Arts Aparments Baluard,41.381389,2.188391,Calle Del Baluart 6,Hotel
86,Residencia Bertran I Oríola La Barceloneta,41.381716231148125,2.187546938573796,"Calle de Carbonell, 08003 Barcelona",Building
87,RelacionArte,41.38276672363281,2.188606023788452,Carrer Mediterranea 16,Art Gallery
88,Carrer De La Sal,41.381242900485496,2.1887086220931593,,Other Great Outdoors
89,La Baguetina El Born,41.38118059445926,2.1882717871743065,,Sandwich Place
90,Can Maño,41.381164867623546,2.188436615303488,"C. Baluard, 12",Mediterranean Restaurant
91,interfashion store,41.381023,2.189605,,Women's Store
92,Nostro HomeOffice Barceloneta,41.381353,2.187743,,Tech Startup
93,de reisduif,41.382667,2.187261,,Bus Station
94,Luthier,41.380968,2.188794,,Arts & Crafts Store
95,Maria Estilistas,41.381737,2.189187,,Event Space
96,Chille Bille met de Wille,41.38194995557486,2.189971146812887,,Residential Building (Apartment / Condo)
97,Be Happy Hostal,41.38159049970262,2.18902587890625,Carrer de  Atlantida #2,Hostel
98,Parking EUIMar,41.3841507,2.1897255,,Parking
99,Escola sant joan baptista,41.38385154972348,2.1894526913178547,,Building
100,#MuubiesParty,41.382347,2.190565,,Theme Park
101,torre gas natural,41.383409796397345,2.1900129318237305,"C/ Doctor Aiguader, 38-54",Housing Development
102,Zion,41.381997,2.1897,Ginebra 27,Racetrack
103,Kosmesano Natural Ecologic,41.38280888153616,2.188214182885597,,Convenience Store
104,CONFAVC (Confederacio d'Associacions Veinals de Catalunya),41.38286249654054,2.188223783595269,"Calle del Doctor Aiguader, 18, 08003 Barcelona",Building
105,Carrer De Pizarro,41.38177,2.188294,,Plaza
106,Tokoindo,41.382752,2.191423,,Smoke Shop
107,Fruit Express 2,41.381179,2.190406,,Juice Bar
108,Haus der heissen Liebe,41.381554,2.190286,,Residential Building (Apartment / Condo)
109,Creat Tattoo,41.381425,2.188263,Baluard 3,Tattoo Parlor
110,9 Carte De Atlantida,41.38133343476687,2.189164663064068,9 Carre De Atlantida,Residential Building (Apartment / Condo)
111,saffo en kaat's foodpalace,41.382728,2.191207,,Comedy Club
112,Atlantida 10,41.381354,2.189194,,Residential Building (Apartment / Condo)
113,"Calle Mariners, 12",41.381292,2.188897,,Bed & Breakfast
114,🇪🇸Barcelona Apartment🇪🇸,41.381286,2.188493,,Residential Building (Apartment / Condo)
115,Bar Ester,41.381189769634986,2.1902927842376285,,Bar
116,Enjoy Barcelona,41.38186420245797,2.188124656677246,"Pizarro 10, 4-2",Hotel
117,carrer dels mariners 9,41.382772,2.18779,,Residential Building (Apartment / Condo)
118,Designer Apartment BCN,41.381479,2.19041,Marques de la Mina 13,Hotel
119,Fisioterapia Xavier Cerrato,41.38167,2.18869,Carrer dels Mariners 3,Medical Center
120,EUiA,41.38378698309648,2.190278382512813,"Doctor Aiguader, 10-12",Office
121,Carrer de Monjo,41.381016,2.188574,,Residential Building (Apartment / Condo)
122,Fritz Mar,41.38201011553296,2.191392129479349,Passeig Marítim de la Barceloneta 34,Nightclub
123,IEB Barceloneta,41.38202520354063,2.1900880336761475,C/ Ginebra 35,Church
124,Graphite Barcelona,41.38423796999402,2.1798671398817486,carrer de la mediterrània 4,Design Studio
125,The Fishbowl Spa,41.38191943854372,2.189164663064068,"Sevilla, 18",Spa
126,Librería Gigamesh,41.39177663737363,2.177398920788187,"C. de Bailén, 8",Bookstore
127,Triangle Friki (Triángulo Friki),41.39208282847029,2.1790608369660585,,Arcade
128,Crossfit Eixample,41.39244247346108,2.176975314608003,"Carrer Ausiás Marc, 45",Gym
129,Café Fosc,41.391636245940745,2.17728853225708,"C. de Bailèn, 11",Coffee Shop
130,NH Podium Gym,41.39149903388747,2.1780001866620395,,Gym
131,Kaburi Rol & Games,41.392333295330424,2.1781814053112742,"Pg. de Sant Joan, 11",Toy / Game Store
132,Restaurant Xinès Wan Zhen,41.39177848143784,2.177414680000722,"Carrer de Bailén, 7",Chinese Restaurant
133,Club de Cafè Novell,41.392071306136764,2.177266869980241,"Bailèn, 12",Café
134,caixa 3426,41.391754150390625,2.177516460418701,,Bank
135,FabCafe Barcelona,41.391738614108895,2.1771784740551494,Bailén 11,Coffee Shop
136,Milk & Co,41.391795589969384,2.1771747204535616,Bailen 11,Coffee Shop
137,Hotel NH Pódium,41.39167165236542,2.1779135024632086,Carrer de Bailén 4-6,Hotel
138,Restaurant Cuan Cuan,41.39169,2.1773663,,Chinese Restaurant
