,venue,lat,lon,address,category
0,Total Gas Station,33.89827787572471,35.56805906818627,Nahr El Mot,Gas Station
1,bikers pro (Mv agusta),33.89444160953283,35.57371804285064,Naher El Mot,Motorcycle Shop
2,Carrefour,33.8971618339485,35.56509419154017,Citymall,Supermarket
3,Fresh,33.894375,35.57244,Maten Highway,Fruit & Vegetable Store
4,BHV,33.89864081109349,35.56310106394791,CityMall,Department Store
5,Pinkberry | پنكبيري | Lebanon,33.89335216873058,35.572035021525174,"ABC Mall Dbayeh, Sea Side Road, Level 2, Next to H&M and Starbucks",Frozen Yogurt Shop
6,Golden Club,33.89444693412307,35.573876844552,Nahr El Mout,Gym / Fitness Center
7,Khairallah Rent,33.893508,35.575348,Nahr El Mot,Office
8,Mar antonios,33.89285217330885,35.573231840293616,Jdeideh,Church
9,ANB Service Center,33.895083687179,35.576629854024375,Nahr el Mot,Auto Dealership
10,BSynchro,33.89758210805784,35.573269240581155,Zalka,Office
11,Beauty Makers,33.895530700683594,35.575233459472656,,Cosmetics Shop
12,Eglise St Antoine,33.89243167915715,35.5730715530946,,Church
13,Pure Laundry Spa,33.895037,35.573591,Michel Abou Jaoude,Laundry Service
14,Karim Khoury Establishment Rewinding Motors And Generators - KGgroup,33.89458879600172,35.574006557269406,Zalka Nahr El Mot,Factory
15,Lanidor,33.8952176135786,35.575240746198936,CityMall,Women's Store
16,Villa Hatem,33.891024956192005,35.57324252609557,,
17,Tree Design House,33.894449,35.573573,,Factory
18,سلطان إبراهيم,33.89330146038131,35.57198693468609,,Seafood Restaurant
19,marino's salon,33.89571095971944,35.57673454284668,Zalka,Nail Salon
20,Juice & co,33.894942,35.573797,Zalka,Juice Bar
21,The Laser Clinic - Zalka,33.89595363462125,35.57103216648102,Zalka,Health & Beauty Service
22,Bodies Fitness Club,33.897566456367315,35.57326828516769,Bachaalani Building,Gym / Fitness Center
23,Librex,33.8972709171348,35.571928161843864,Zalka,Office
24,Peter's Brass SARL,33.89427526099924,35.573560875198154,Nahr el mod - zalka,Office
25,Enotica,33.89387315710435,35.575839134039235,,Wine Shop
26,G.E.S Consulting Firm,33.894415100971194,35.575839134039235,Zalka,Campaign Office
27,FNB jdeideh,33.89369128644924,35.568652844019674,,Office
28,Younes Bros,33.89264139807805,35.57570556570944,Nahr El Mot,Coworking Space
29,Arope Insurance,33.89475698863852,35.57504840630823,,Automotive Shop
30,Wise Angle,33.895336494651325,35.57115876796363,Jdeideh,Office
31,Computel,33.892723551190535,35.57266549076621,Jdaydeh,Office
32,CinemaCity - Salle 1 -  Row Q - Seat 10,33.89397527009333,35.57353104221369,,Movie Theater
33,VL Studio,33.895322523733306,35.569224564857755,,Tech Startup
34,Tech Support,33.89336773742325,35.571067936257826,Jdeideh,Tech Startup
35,Naher el mot,33.894898156368896,35.57216859592795,,Bus Line
36,Amara 390,33.89663057327217,35.57092901698073,,Building
37,Orchid bride,33.89574899090555,35.57714274933237,Zalka,
38,Luna park,33.896715741055175,35.574914836670054,Dora,Playground
39,Dispensaire st Antoine,33.88987112668844,35.57344021317659,,Medical Center
40,mad dolls,33.893465,35.571977,Kaslik,Daycare
41,La Lipco Petrole,33.89436,35.57196,Jedeideh,Gas Station
42,Nassige,33.89559827366547,35.574482069524315,Zalka,Factory
43,7th heaven,33.8961847757175,35.57704658171038,,Spa
44,L'abeille D'or,33.89199512007303,35.57140454736116,,Dessert Shop
45,Rainbow Fitness Club,33.89699334404367,35.57330131530762,Zalka,Gym / Fitness Center
46,Farmville,33.8951847,35.5773077,,Farm
47,Dojo,33.897556,35.573246,,Martial Arts Dojo
48,HeadLiners,33.89664438523619,35.57169307004717,Nahr el Mot,Diner
49,Bijouterie Wadih Haddad,33.89607656519448,35.57241437225166,Zalka,Jewelry Store
50,Electro fares,33.89171456199611,35.570886272539695,Jdeideh,Electronics Store
51,Spica,33.89665985107422,35.57177734375,"Al-Rachid Building, Michel El Murr Street",Garden Center
52,Clinic Dr.Jeannette R. Rachid,33.89510426209256,35.5780029101886,,Dentist's Office
53,Drinko,33.892639629110455,35.57571090844688,Jdeideh,
54,Sushi Express,33.896949739092925,35.57127631472535,,Sushi Restaurant
55,Sgs Jdeideh,33.89123625012913,35.57128165775591,,Student Center
56,mazda showroom,33.892935,35.575086,,Automotive Shop
57,Jacemi,33.89452332758867,35.57197624871796,Jdeideh,Gift Shop
58,LeMall Sinelfil- Roadsters,33.89044896542582,35.57265480488789,,Restaurant
59,Dr. Roger Sreih Dental Clinic,33.8959518,35.5754444,Zalka,Dentist's Office
60,Moteco (motor technic company),33.89105039394453,35.573194439975644,,Factory
61,Pailiani,33.8949465,35.5709463,bourj hammoud,Professional & Other Places
62,Rabih Mwanes Photography,33.8923,35.571681,,Professional & Other Places
63,Elianor Group,33.89224631543112,35.57113205276665,Jdeideh,Factory
64,Polyclinic Dr Melki,33.892147634021704,35.57546514215887,,Dentist's Office
65,Le Khalil Flat,33.89655059791633,35.57076872521018,,Residential Building (Apartment / Condo)
66,chekka,33.89316177368164,35.56957244873047,,Beach
67,Mini Market El-Sheikh,33.895935982981406,35.576950413973805,Roupheal Abou jaoude St.,Grocery Store
68,Diwan El Hashem,33.89670587421316,35.571148081885894,Az Zalqa amarat chelhoub,BBQ Joint
69,Special Ops Barracks,33.89325,35.57181,Roumieh,Military Base
70,Paradox,33.89654831497945,35.571851425563594,Zalka,Diner
71,GAP - Le Mall Dbayeh,33.891103252871744,35.57336541271637,,Men's Store
72,Nahr El Mot Bridge,33.896308470760246,35.56684682076908,,Bridge
73,Frank Würst Fine Hotdog,33.89333,35.574318,,Hot Dog Joint
74,alouf's,33.89437175305628,35.57241971520691,,Residential Building (Apartment / Condo)
75,Park Jdeideh,33.890910874126845,35.57334254509169,,Residential Building (Apartment / Condo)
76,C-Club Diving Center,33.89264139807805,35.57570556570944,St. Paul Beach Resort,Beach
77,Lollipopart,33.89138820834946,35.573055524357194,,Print Shop
78,Salon dany azar,33.89453250266026,35.569058926526715,,Salon / Barbershop
79,Pizza Napoli,33.896214,35.573013,Michel El Murr Street,Pizza Place
80,سجن رومية,33.89245687649014,35.57265480488789,,Military Base
81,Garage Elie Khoury,33.893843,35.57549,Abou Jaoude center,Automotive Shop
82,Porcelanosa Geahchan Group,33.892676,35.575843,Zalka,Furniture / Home Store
83,Subaru Maintenance Garage,33.89226221468324,35.57763427094415,,Automotive Shop
84,Tutti Frutti,33.89656926277721,35.572288726467434,Zalka,Juice Bar
85,Jdaide,33.89324670983015,35.57203731134299,"Liban, Mont-Liban, Al Matin",Residential Building (Apartment / Condo)
86,Home Shop,33.89419482465425,35.571933504831286,,Gift Shop
87,Caribou - Le Mall Dbayeh,33.89116284561276,35.57319978287927,,Coffee Shop
88,White beach,33.89622318778163,35.572831121699416,,Beach
89,Mcharrabiye,33.892813,35.576925,Zalka,
90,libanpost Jdeide,33.891536,35.571049,,Post Office
91,jste,33.8931770324707,35.57141876220703,,Automotive Shop
92,Nivine 'S,33.8950309753418,35.57785415649414,,Lounge
93,Pizza Slice,33.89653026304001,35.575168132781975,Notre Dame of Delivrance Street,Pizza Place
94,Entracte Restaurant,33.896247,35.572712,,Restaurant
95,Vanellis,33.89643945550827,35.57178924404673,,Italian Restaurant
96,Farhat Steel,33.892443,35.572001,Jdeideh,Factory
97,Michel Nmeir,33.892077795431625,35.57139920433874,,Salon / Barbershop
98,Autozone,33.892405,35.577142,,Gas Station
99,saab hage station,33.894195556640625,35.57018280029297,,Gas Station
100,Elclassico courts,33.89080696167419,35.57335472693069,,Playground
101,Green & Grill,33.89628140405746,35.572887509091125,Omaret Chalhoub,Middle Eastern Restaurant
102,Saad building,33.890777,35.573292,,Housing Development
103,C&M-H.S.H.,33.89510759647513,35.568562009495245,,Residential Building (Apartment / Condo)
104,Rood's Lab,33.89122007245643,35.57270823426537,,Residential Building (Apartment / Condo)
105,Dany Chalhoub,33.89215804137331,35.57197624871796,,Salon / Barbershop
106,Repco Station,33.892639629110455,35.57570556570944,,Gas Station
107,Extreme 4X4,33.89549526273607,35.57136714619675,Nahr El Mot,Automotive Shop
108,Splash,33.89481728702995,35.568802453601926,City Mall,Clothing Store
109,Assawer,33.896266,35.576666,"Zalka, rue Journalist Michel Abou Jaoudeh",Cosmetics Shop
110,A More Peaceful Earth,33.89626,35.57547,,Rest Area
111,Rocket,33.89238088674667,35.57729234318326,Nahr L Mawt Highway,Fast Food Restaurant
112,Faloughi,33.897327,35.573742,Zalka,Assisted Living
113,Milo's,33.89107103318991,35.57333335535507,,Residential Building (Apartment / Condo)
