,venue,lat,lon,address,category
0,Reel Cinemas,25.065019,55.193361,,Movie Theater
1,London Dairy Café - The Springs Souk,25.065662,55.192565,"The Springs Souk, Afnan St, Springs 7",Café
2,Dig It,25.065054,55.19318,Springs Souq,Indoor Play Area
3,The Springs Souk (سوق الينابيع),25.065235266041377,55.19304430191122,,Shopping Mall
4,Layali Kish,25.081309,55.204442,Al Barsha,Persian Restaurant
5,Han Cuisine Restaurant ( springs souk ),25.064900651783237,55.19208734722133,Springs - Al Afnan St,Chinese Restaurant
6,Mahiti,25.0736704501147,55.1908719587816,Jumeira Beach Hotel,Nightclub
7,Seyed Hashemi Tyres,25.0815876,55.2044726,"Building Hessa-4, Shop No :1, Hessa St, Al Barsha 3",Automotive Shop
8,Pirelli P ZERO World Dubai - Al Hawai Tyre Co.,25.0593353,55.221495,Hessa Street,Automotive Shop
9,Shadowlair,25.067161,55.189361,the springs,
10,The Coffee Club,25.066055,55.192165,,Coffee Shop
11,BinSina Pharmacy Spring Village Mall,25.0660361,55.1914192,"Al Afnan Street, Spring Village Mall, Springs 7",Pharmacy
12,Choithrams,25.069044646560563,55.20730679670985,Manhattan Towers,Supermarket
13,Tavola,25.065839,55.192164,"The Springs Souk, Ground Floor, Unit No 9, Al Afnan St, Springs 7",Food & Drink Shop
14,ADIB مصرف ابوظبي الاسلامي,25.085027669459603,55.19801700002074,Al Barsha Mall,Bank
15,Carluccio's - The Springs Souks,25.066379,55.191842,"The Springs Souk, Ground Floor, Al Afnan Street, Emirates Hills",Cafeteria
16,Zaatar w Zeit - The Springs Souk,25.065736,55.192419,"The Springs Souk, Al Afnan St Off Al Asayel St, The Springs",Middle Eastern Restaurant
17,Angsana Spa,25.08432715841647,55.20539993677073,Marina Walk,
18,Mashreq Bank,25.079554871627256,55.18652558326721,"HQ, Mashreq Bank Building, Opposite Union Metro Station",Bank
19,Boots,25.08070139299264,55.21059911399339,"Block C-Uptown MotorCity, Dubai(Ground Floor)",Pharmacy
20,Aujan Industries,25.0819836306417,55.20486601423126,Jebel Ali Industrial Zone,
21,T&M AC Casa @ JVT,25.067368742752155,55.19814491271973,Jumaira Village Triangle,
22,Infinitec HQ,25.0682256356026,55.18836459511557,,
23,hayya!,25.067158936837885,55.18936213960256,Springs,
24,Palm Utilities,25.067205,55.203578,,
25,Al Arrab Express,25.0682256356026,55.18836459511557,"Springs, opposite Springs 6 Entrance",
26,Sandella's,25.066228922372943,55.19183717857008,Springs,
27,Jewellery And Gemplex Building 2,25.085369,55.191398,DMCC,Government Building
28,"Palm Utilities, Jumeirah Village",25.063011378274137,55.200028504086255,"Al Khail Road, Jumeirah Village",Office
29,Drs. Nicolas & Asp,25.066324,55.191782,,Medical Center
30,Han Cuisine,25.065233,55.19303,,Chinese Restaurant
31,Tsunami,25.065848,55.192166,The Springs Souk,Japanese Restaurant
32,Nedaa,25.084979609825147,55.19863716379693,,Government Building
33,Karting,25.079791,55.20654,,
34,Concordia Fit-out Office,25.085525844802586,55.19153520919812,Ag (Silver) Tower,Office
35,Asia Tang,25.066329,55.192056,,Asian Restaurant
36,Pizzaro,25.07690083525568,55.18715138100609,,Italian Restaurant
37,Le Marche,25.06599433547614,55.19207444096684,Community Centre,Grocery Store
38,Dolma land,25.067167830173148,55.19501331381046,,Turkish Restaurant
39,koshi bashi,25.076664895827545,55.19264063798002,JBR,Turkish Restaurant
40,Brau,25.064625,55.19258,,Health & Beauty Service
41,Starbucks,25.066278,55.191954,,Coffee Shop
42,Marks & Spencer Food,25.065612,55.192464,,Food & Drink Shop
43,Socialicious House Asian Blends,25.067788,55.207951,Condor Castle Residence,Asian Restaurant
44,Tips & Toes Springs,25.066437138803238,55.192110885743894,,Salon / Barbershop
45,Borders,25.065214,55.192991,,Bookstore
46,Prime Gourmet,25.065257,55.19316,,Butcher
47,Daiso,25.066161,55.192133,The Springs,Miscellaneous Shop
48,Crave Shack,25.066297,55.191904,,Seafood Restaurant
49,Qalat Baalbak Butchershop,25.08343,55.201425,,Butcher
50,Boom & Mellow,25.066339,55.191802,,Accessories Store
51,Homesmiths,25.065886,55.192221,,Hardware Store
52,Pinza,25.062832,55.201786,"Shop 1, MAR Residence, JVC",Pizza Place
53,Waitrose Umm Suqueim,25.08560435067399,55.1945711283292,,Supermarket
54,Subway,25.065651,55.192407,,Sandwich Place
55,Le Pain Quotidien,25.066097,55.192052,,Breakfast Spot
56,Parfois,25.06621,55.191957,,Clothing Store
57,Emirates NBD,25.066491,55.191715,,Bank
58,The Little Things,25.065502,55.192474,,Hobby Shop
59,Tito & Tuthill Ladies Salon,25.065368,55.192895,The Springs Souk,Salon / Barbershop
60,Russo’s New York Pizzeria,25.065856,55.191985,The Springs,Italian Restaurant
61,Baskin-Robbins,25.066128,55.192368,The Springs Souk,Ice Cream Shop
62,Gold's Gym Staff Hive,25.084109490126714,55.20382514450262,,Lounge
63,Arabesque Cafe,25.082641,55.202657,Hessa Street,Café
64,Jogging in JVC,25.068699293390292,55.207201275742385,JV Circle,Athletics & Sports
65,Manhattan Tower,25.06859868607512,55.20764891974404,,Residential Building (Apartment / Condo)
66,S1 - AMSA Atlantis Staff Accomodation,25.063831234260498,55.20071983337402,Jumeirah village,Residential Building (Apartment / Condo)
67,Condor Castle,25.067556,55.208016,Jumeirah Village,Residential Building (Apartment / Condo)
68,Caribou Coffee,25.065833,55.192289,,Coffee Shop
69,Biorganic,25.065306,55.193134,The Springs Souk,Organic Grocery
70,Pet World,25.065045,55.193176,,Pet Store
71,Skechers,25.065276,55.193017,,Shoe Store
72,Books Plus,25.06894495950558,55.18801410927264,Springs,Bookstore
73,Moz Flowers,25.069067002087582,55.20684599876403,"2nd street, Al Garhoud Dubai",Flower Shop
74,Miniso,25.065424,55.19261,The Springs Souk,Discount Store
75,The Barber Shop,25.06566,55.192554,,Salon / Barbershop
76,Raffles Nursery@springs7,25.065600570155603,55.19211757965509,,School
77,Carter’s,25.066133,55.192034,,Kids Store
78,Brooklyn Melodies Music Centre,25.065887,55.192573,The Springs Souk,Music School
79,Paperchase,25.065428,55.192846,,Stationery Store
80,Faces,25.065553,55.192667,,Cosmetics Shop
81,Bath & Body Works,25.065901,55.192196,The Springs,Cosmetics Shop
82,Beyond the Beach,25.068107420223956,55.192646030350524,@ Springs Town Centre,Board Shop
83,Okaidi,25.066105,55.192088,,Kids Store
84,Meat Counter,25.064883,55.193,,Butcher
85,Life Pharmacy,25.066559,55.191872,,Pharmacy
86,Ripe Market,25.065075,55.193038,,Market
87,S5 - AMSA Atlantis Accommodation,25.067989058520162,55.20912017206238,Jumeirah Village,Residential Building (Apartment / Condo)
88,Springs 6,25.068680302340287,55.18834302671455,,Park
89,Al Wahid Mosque  مسجد الواحد,25.0662732388018,55.19130459187357,Inside The Springs Village (near Choithram) in the Springs Community within Emirates Hills Area,Mosque
90,Manhattan Tower,25.07055222604415,55.20727678179559,Jumeirah Village,Residential Building (Apartment / Condo)
91,Xenia DXB,25.066483,55.191847,Spring Souq,Mediterranean Restaurant
92,African & Eastern,25.064782,55.193921,The Springs Souk,Liquor Store
93,Happy Apartment JVC,25.065901,55.202627,,Residential Building (Apartment / Condo)
94,1847 Executive Grooming For Men,25.065886,55.192142,The Springs Souk,Spa
95,Yogurtland,25.065854,55.192243,,Frozen Yogurt Shop
96,ENOC (اينوك),25.076471921569834,55.20974155163157,,Gas Station
97,Center of Cultural Islamic Affairs,25.086572308609085,55.19646517221581,Al Hessa Street,Cultural Center
98,Warehouse Gym,25.06541,55.19298,springs souk,Gym / Fitness Center
99,Cafe Ginger,25.067646,55.207958,Condor Castle,Café
100,MAY Residence,25.066665,55.203745,JVC,Residential Building (Apartment / Condo)
101,Gahwetna,25.082937,55.201752,Hessa Street,Café
102,Petit ETerrasse A Dubai,25.066218,55.189423,,Garden
103,Palm Jumeirah Marina West,25.114838,55.134849,Palm Jumeirah,Harbor / Marina
104,Desert Island Resort & Spa (Anantara) - Sir Bani Yas Island,25.0682256356026,55.18836459511557,,Island
105,The Town Centre,25.06637459956527,55.192034672565704,Springs,Convenience Store
106,Fit And Fab,25.068118,55.20959,S5 AMSA,Gym / Fitness Center
107,Jumeirah Village Circle Basketball Court,25.06911879348354,55.209903355194115,,Basketball Court
108,Lime Tree Cafe Springs Souq,25.065559,55.192669,Springs Souq,Café
109,Ice Golf,25.066374,55.192146,The Springs Souk,Mini Golf
110,Well of Life (Grand Excelsior),25.069427296934673,55.1882891057358,www.wolhome.com,Hotel
111,Springs Mosque,25.066109375433683,55.19156217070588,Next to Choitram,Mosque
112,M&S Café,25.06562,55.192648,The Springs Souk,Café
113,Anantara Palm resort & spa,25.085759222858144,55.201446831597956,,Resort
114,Mooyah,25.065644,55.192589,,Burger Joint
115,Charlie's Grilled Sub,25.08317972314915,55.20073496846631,,Burger Joint
116,Manhattan Tower Gym,25.06815099173295,55.20733610802693,,Gym
117,Carrefour Market,25.06517201701771,55.193104383119106,,Supermarket
118,Motorola Internet City,25.08096050067423,55.187426374696614,,Office
119,Jebel Ali Race Course,25.084978462033565,55.18702197251636,,Racetrack
120,Ushi,25.088545,55.191331,Ushi Nail Spa,Nail Salon
