,venue,lat,lon,address,category
0,Srđ Mountain,42.64924529165226,18.111598087472444,Srđ,Mountain
1,Villa Klaic,42.647729823474855,18.103821388684974,,Hotel
2,Park Grada Bad Homburga,42.646697,18.094418,,Park
3,Walking trail srd,42.646845,18.10535,,Trail
4,Fort Imperial,42.649224699147766,18.11160542782729,,History Museum
5,MIB Pivac,42.6444,18.1047,Zagrebačka 64,
6,"Villa ""MIA""",42.65195646949681,18.096952736377716,Od Gaja 22,Vacation Rental
7,Rooms Drage,42.6445030902152,18.10248613357544,Baltazara Bogisica 23,Hotel
8,Elapite islands Cruise,42.644259911358276,18.104990916761242,,Boat or Ferry
9,Таможенный Контроль Montenegro-Croatia,42.64399898144635,18.101748671521616,,Boat or Ferry
10,Paola Di Rosa,42.646599428280126,18.100677580083957,Volantina 1,Sorority House
11,Rooms Dora,42.647405,18.104274,Šumetska ulica 4,Hostel
12,Prometna policija Dubrovnik,42.64634116302019,18.101592349838313,Vladimira Nazora 32,Police Station
13,ORYX Rent A Car,42.64545959090279,18.1033524207421,Zagrebačka ulica 56,Rental Car Location
14,Zrinkine odaje,42.64536174517803,18.109634334007026,,Other Nightlife
15,Jadroagent International Shipping and Freight,42.6458289021732,18.102378845214844,,General Travel
16,Dubrovnik in Homeland War,42.64930737966026,18.111599990986544,,Art Gallery
17,Apartments Rock Palace,42.64683803433917,18.104550895780534,Stolacka 1,Assisted Living
18,Sona & Saša Party Location,42.645194537164905,18.107133133062913,Gornji Kono 22,Nightclub
19,Umjetnicka skola Luke Sorkocevica,42.644294,18.107165,Ulica Josipa Jurja Strossmayera 3,Dance Studio
20,Dubrovnik Cable Car - Top (Bosanka) Station,42.64923608308871,18.111640219354854,E65,Cable Car
21,Medicinska Skola,42.645159,18.103798,Baltazara Bogsica 10,High School
22,Family Stanos,42.64388656616211,18.108112335205078,,Hostel
23,Marko Polo Hostel,42.647234,18.104417,,Hostel
24,Apartments Deranja,42.64609223327004,18.103531902216883,Ulica Pera Bakica 4,Hotel
25,AB Apartement,42.647791,18.097184,,Vacation Rental
26,Villa Brunello,42.643885,18.104806,,Boarding House
27,Magnificent View Hostel,42.650847,18.098217,Budvanska 4b,Hostel
28,Bric-a-brac,42.644314,18.105692,Zagrebacka 13,Public Art
29,Sobe Room Appatmens,42.645821961136214,18.103827178417088,,Travel & Transport
30,Sobe Mara,42.64729300078518,18.10440036243013,,Hostel
31,Guesthouse Martin,42.65067,18.098757,Tivatska 1,Vacation Rental
32,Libertas Bus Line 3,42.645183,18.107078,Nuncijata,Bus Line
33,Old Dinka,42.64419225471893,18.106415199469097,,Housing Development
34,Only Apartments,42.64369,18.107775,Strma 9,Residential Building (Apartment / Condo)
35,Royal Princess,42.644323246121516,18.10717366162165,,Residential Building (Apartment / Condo)
36,PassionFlower,42.643936,18.108903,,Residential Building (Apartment / Condo)
37,Apartman A Kind Of Magic Dubrovnik,42.651615,18.098332,,Residential Building (Apartment / Condo)
38,Appartments Marevista,42.64428,18.108128,,Residential Building (Apartment / Condo)
39,studio im,42.646843,18.100542,Vladimira Nazora 16,Residential Building (Apartment / Condo)
40,Panorama Guesthouse,42.65206081958255,18.098182240852076,Majkovska 1 Gruz,Boarding House
41,Hostel Center Dubrovnik,42.650836,18.098242,4 Budvanska,Hostel
42,Apartment Dubrovnik Travel,42.65082518336283,18.098286454154014,Ulica Budanksa,Hostel
43,Villa Nicol,42.646461486816406,18.10409164428711,,Residential Building (Apartment / Condo)
44,Apartment & Room Andrea,42.64801,18.101688,,Residential Building (Apartment / Condo)
45,Apartment Laos,42.6489498891457,18.096700099903014,,Residential Building (Apartment / Condo)
46,Villa Kosovic,42.64486345757658,18.110618608408235,,Residential Building (Apartment / Condo)
47,Vicina 5,42.64373779296875,18.107385635375977,Vicina 5,Bed & Breakfast
48,Villa Elly Apartments,42.645715,18.098822,Ivana Matijasevica 2A,Bed & Breakfast
49,Sobe Nar,42.644226,18.106896,,Bed & Breakfast
50,Villa Doda,42.64358985554334,18.105291984106902,Antuna Masle 1,Bed & Breakfast
51,Apartment Why Green,42.649244,18.101392,9 Brdasta,Bed & Breakfast
52,Self-service Laundry room,42.645638,18.102977,,Laundry Service
53,Parking,42.64453331246328,18.10537304074978,,Parking
54,pekara Galeta,42.64449755,18.10513937,,Bakery
55,garaža dubrovnik 1,42.6450812223306,18.10323268931305,,Parking
56,Apartments Rock Palace,42.646358489990234,18.104354858398438,Stolacka 1,Assisted Living
57,Apartments Princ Hrvoje,42.64908436856967,18.096329565772418,Natka Nodila 8,Bed & Breakfast
58,Konzum,42.64610567754902,18.102142370924465,Zagrebačka 1,Grocery Store
59,Guesthouse Libertas,42.64486051105976,18.103722963255567,Pera Budmani 19,Bed & Breakfast
60,Rooms Matea,42.648128,18.099798,3 Od Gaja,Hostel
61,villa ankora,42.64578622956633,18.104927229475482,,Residential Building (Apartment / Condo)
62,Italiana Food Bar Dubrovnik,42.645737,18.103181,,Pizza Place
63,Cafe Bar DIX,42.648331981097755,18.09904489646132,Andrije Hebranga,Bar
64,Pinky,42.64461612669568,18.10511561918536,,Bar
65,Caffe Bar Seven Sins,42.64845411856598,18.0987264662592,Andrije Hebranga 16,Karaoke Bar
66,Apartments ZoomZoom,42.647208,18.100723,Andrije Hebranga 2a,Hotel
67,Apartment Saint John,42.644209,18.10574,Srednji Kono 18,Hotel
68,4B Apartments,42.647852,18.09695,Diva Natali 3,Boarding House
69,Apartment Art,42.644367,18.105671,Zagrebačka 13,Hotel
70,Villa Anica,42.64429790250642,18.10274362564087,Baltazara Bogisica,Hotel
71,Souvenir Shop,42.649175,18.111678,,Souvenir Shop
72,Apartments & Rooms Stella,42.646621,18.105273,,Boarding House
73,Apartmani Imperial,42.64369696268087,18.106727847765935,Srednji Kono 14,Hotel
74,Villa Dard Dubrovnik,42.645605,18.10709,,Resort
75,Turtle Apartments,42.6436458,18.1089467,"Za kapelicom, 2",Hotel
76,Villa Banana,42.65104596745354,18.098124344588346,,Hostel
77,Hedera Estate,42.64639151883576,18.100046506318062,Rudimira Rotera 12A,Hotel
78,Keka-voće i povrće,42.649104,18.098445,,Fruit & Vegetable Store
79,Villa Iveta,42.643628,18.105564,,Hotel
80,Ladies Who Kiki - Dubrovnik Branch,42.646656,18.10007,,Vacation Rental
81,Appartement Aurelia,42.643802619851456,18.108806387950082,Zu Kapelicom 6,Residential Building (Apartment / Condo)
82,Noa Apartments,42.645259,18.105007,,Residential Building (Apartment / Condo)
83,Studenac Market,42.646206,18.102083,,Grocery Store
84,Apartment Jelena,42.651917,18.0979,,Bed & Breakfast
85,Dubrovnik Icy Guest House,42.65085220336914,18.09803009033203,,Bed & Breakfast
86,Spot To Fly Drone,42.644622,18.108204,,Park
87,Gornja postaja žičare - Srdj,42.64908361554872,18.11165499481692,,Other Great Outdoors
88,ulica Pera Budmanija,42.645062,18.103862,,Pedestrian Plaza
89,Villa Dard,42.646514243386754,18.102952934120122,,Bed & Breakfast
90,B&B Villa Dubronik Garden,42.645744,18.104764,,Bed & Breakfast
91,Apartment Pasko,42.647296,18.102006,Privezna 4,Bed & Breakfast
92,Pemo,42.647977,18.099258,,Grocery Store
93,Panorama,42.648997272631966,18.11186737936316,Brsalje 1,Café
94,United Colors of Benetton,42.6444955803624,18.105604631274442,Iza Luze 2,Clothing Store
95,Perak auto - MAZDA,42.64715468587566,18.10044765472412,Andrije Hebranga 2a,Auto Dealership
96,yetien,42.646205,18.103456,,Moving Target
97,Brischki's chambers,42.649702165304646,18.09679852310588,Gabra Roncevica 26,Residential Building (Apartment / Condo)
98,#BAMSweekend Funhouse,42.644159827512226,18.106727847765935,Zagrebačka 28,Comedy Club
99,Villa Benic,42.645477294921875,18.103910446166992,Zagrebacka 54,Residential Building (Apartment / Condo)
100,Brdasta Ulica 12,42.648736,18.102035,Brdasta Ulica 12,Residential Building (Apartment / Condo)
101,apartman Viola,42.64401626586914,18.105998992919922,Srednji Kono 18B,Residential Building (Apartment / Condo)
102,Krispy Kreme,42.643057590962826,18.10448720858493,,Dessert Shop
103,Guesthouse Fabris,42.64890670776367,18.09698486328125,,Bed & Breakfast
104,Nota & Bene,42.646263893057906,18.106143079911018,,Mediterranean Restaurant
105,crodux,42.64303970336914,18.104690551757812,,Gas Station
106,Manda Rooms,42.64389,18.101818,,Vacation Rental
107,Apartments Koncul,42.64573,18.099442,,Hotel
108,Villa Adria,42.64861297607422,18.096765518188477,"Vladimira Nazora 11B, Gruz",Boarding House
109,Apartments Carmen & Tosca,42.645492,18.099004,,Boarding House
110,(NEM) Janja Katić,42.64343086089734,18.108076870872157,Za Kapelicom 12,Hotel
111,Apartments & rooms Maria Bilicic,42.646751,18.101895,Privežna ul. 2,Hotel
112,Limestone House Dubrovnik,42.64502521612084,18.104342465007083,,Hotel
113,Trippentrekkers @Dubrovnik,42.646925,18.104478,,Residential Building (Apartment / Condo)
114,Apartmant Nia,42.64724788212624,18.102744500388134,Anica Dedo,Residential Building (Apartment / Condo)
115,Maria Di Apartments,42.64767,18.10037,Ulica Pera Beatovića 7,Residential Building (Apartment / Condo)
116,Foretic Guesthouse,42.64833,18.099902,Ulica od Gaja 3,Bed & Breakfast
117,Depozit,42.6447052616272,18.10608518216342,,Well
118,Rooms Batina,42.650642,18.099088,Marka Gjaje 1,Bed & Breakfast
119,Hotel Adria,42.65798973376725,18.091748125373204,"Radnicka, 46",Resort
120,Hotel Adria Pool,42.657817,18.091885,,Hotel Pool
121,Cafè Bar Song,42.658106505538875,18.091790558619383,"St jepana cvijica, 22",Cocktail Bar
122,danica guesthouse,42.65964889526367,18.091304779052734,"Radnicka 33,",Bed & Breakfast
123,Tiskara Alfa-2,42.656932,18.089078,Metohijska 5,Paper / Office Supplies Store
124,Tommy Market,42.658367,18.090262,Ulica Stjepana Cvijića 34,Grocery Store
125,Libertas,42.657812,18.091802,,Historic Site
126,MIB Pivac,42.65972,18.08944,Obala S.Radića 19,
127,Amfora - Mediterranean Grill & Pasta,42.65744503455895,18.088021997346978,Obala Stjepana Radica 26,Coffee Shop
128,Svratiste,42.65926657117184,18.08913318606732,,Animal Shelter
129,Rooms & Apartments Abba,42.659875,18.089978,"Đura Basaričeka 7, 20000 Dubrovnik",Hotel
130,zio Aparment,42.65980095445277,18.09122318740118,,Residential Building (Apartment / Condo)
131,Budva,42.655055,18.091652,,
132,Frizerski salon Miluka,42.65703768744,18.092056876080285,Ulica Silvija Strahimira Kranjcevica 30,Miscellaneous Shop
133,Beach Bar Hawaii,42.659581838640804,18.091460556865986,,Pizza Place
134,Private Hospital Marin Med Dubrovnik,42.65718965136192,18.08850213580713,Dr. Ante Starcevica 45,Medical Center
135,Let's Ride,42.65983402689878,18.091101607989682,,Travel Agency
136,Studenac,42.655502,18.091782,Stjepana Cvijica 3,Convenience Store
137,Dilberovic,42.660105426077216,18.091228976898154,,Resort
138,Red Dwarf Guesthouse,42.657328,18.091762,,Hostel
139,Apartment Anet,42.658639,18.090904,,Vacation Rental
140,Cafe Bar None,42.65767048367834,18.089445816948164,,Bar
141,Caff bar Song,42.657697,18.088092,,Café
142,perak pero,42.660343170166016,18.088909149169922,"mljestka, 11",Boarding House
143,Rooms Adrijana,42.65579605102539,18.091705322265625,"Augusta Cesarca 4,",Hostel
144,Plodovi Zemlje,42.658456,18.08874,,General Entertainment
145,Gulliver Travel d.o.o.,42.65722184020519,18.088288754747996,Obala Stjepana Radića 25,General Travel
146,Akvarij / Aquarium,42.639913610691416,18.112276196479797,Ul. kneza Damjana Jude 2,Aquarium
147,red dwarf guesthouse,42.657282,18.091754,,Hostel
148,Apartment Denis,42.657939,18.090651,,Residential Building (Apartment / Condo)
149,Autobusno Stajalista Gruz,42.65731217363925,18.08806213822216,,Bus Station
150,Kraš,42.65641156437844,18.091888980263036,,Dessert Shop
151,Kod Kuma,42.65686798095703,18.09053611755371,,Karaoke Bar
152,Caffe bar Rhea Silvia,42.65724656572874,18.088267487908556,Obala Stjepana Radica 26A,Café
153,Dubrovnik,42.65848062176034,18.0884558202424,Hirvatistan Dubrovnik,Bar
154,Guesthouse Maria,42.656342,18.090025,Andrije hebranga 90,Hostel
155,Apartment Purple Petra,42.658773,18.090384,,Hotel
156,Guest House Ivona,42.65874,18.089314,,Hotel
157,Apartments Gera,42.65534719343102,18.093139516811544,Janjevska 4,Boarding House
158,Apartments Dubrovnik Palm Tree Paradise,42.658735,18.090178,,Vacation Rental
159,Guesthouse Brunsko / Nina,42.65589904785156,18.093366622924805,Janjevska 13,Hostel
160,Servis BUBA,42.65680706270542,18.089978448065118,,Automotive Shop
